StationCode,SampleDate,Notes
911S04086,15-Jul-10,
310SRCDxx,,
SMC35969,,
SMC49785,,
SMC00613,,
SMC23374,,
SMC13988,,
641CDR002,,
SMC41882,,
SMC38687,,
114EFRRPH,,
SMC20278,,
SMC30677,,
SMC29565,,
SMC14575,,
SMC09894,,
204SLE050,,
SMC21181,,
309CAW178,,
SMC11604,,
SMC03226,,
SMC48706,,
SMC50061,,
SMC32613,,
SMC14710,,
518JKCAMR,,
SMC45747,,
SMC13828,,
SMC19304,,
SMC05909,,
SMC46051,,
SMC20516,,
SMCR8_723,,
SMC09281,,
SMC34162,,
SMC21427,,
SMC13722,,
SMC33689,,
SMC26552,,
SMC39444,,
SMC42031,,
SMC36903,,
SMCR8_632,,
SMC35250,,
SMC40422,,
SMC13837,,
SMC46855,,
SMC12443,,
SMC36743,,
SMC24172,,
SMC05755,,
SMC24849,,
SMC33586,,
SMC19873,,
309SED063,,
SMC13421,,
532DCBCxx,,
SMC07739,,
SMC49194,,
SMC43737,,
SMC02801,,
SMC08782,,
SMC44032,,
204AMO070,,
SMC16574,,
SMC30426,,
SMC36875,,
SMC49499,,
SMC13536,,
SMC11122,,
SMC35850,,
SMC06968,,
SMC05794,,
SMC37720,,
SMC34734,,
SMC02617,,
SMC19118,,
SMC46410,,
SMC51053,,
SMC07710,,
SMC30147,,
SMC08252,,
SMC45922,,
SMC22442,,
SMC00651,,
SMC09387,,
SMC06774,,
SMC23699,,
SMC34665,,
SMC12809,,
SMC08548,,
SMC01227,,
SMC22690,,
SMC44761,,
SMC14511,,
SMC28682,,
000ML1723,,
SMC50637,,
SMC13192,,
SMC47056,,
SMC34428,,
SMC19260,,
SMC14724,,
SMC35441,,
SMC49316,,
SMC02487,,
SMC27815,,
200FDQ003,,
SMC27389,,
SMC34772,,
SMC37095,,
SMC00252,,
SMCR8_446,,
SMC24595,,
SMC41528,,
SMC13151,,
SMC20735,,
SMC26935,,
SMC20052,,
SMC49527,,
SMC21553,,
SMC05707,,
SMC26668,,
519LSAC16,,
SMC09351,,
SMC47115,,
204ISL050,,
SMC29471,,
SMC20014,,
SMC19046,,
SMC25938,,
SMC43711,,
SMC06702,,
907SDR1xx,,
SMC25278,,
SMC07654,,
SMC44469,,
SMC39253,,
558133sxx,,
SMC15634,,
SMC00806,,
SMC06060,,
SMC03151,,
SMC49810,,
SMC47089,,
SMC36075,,
SMC32439,,
SMC26784,,
SMC03925,,
SMC43102,,
SMC16410,,
SMC15403,,
SMC27677,,
SMC03621,,
SMC06270,,
SMC40218,,
SMC17625,,
SMC41655,,
SMC42079,,
SMC29849,,
SMC37793,,
SMC03822,,
404LVCALC,,
SMC08162,,
SMC07544,,
SMC23588,,
SMC19034,,
SMC12673,,
SMC21024,,
636DVCASR,,
723RICEDR,,
SMC03838,,
SMC41079,,
SMC38323,,
SMC05842,,
SMC41068,,
SMC14313,,
SMC26915,,
SMC06466,,
SMC20214,,
SMC10239,,
SMC02949,,
SMC47251,,
SMC50762,,
SMC10492,,
SMC05207,,
SMC10033,,
635MTR007,,
SMC08880,,
SMC21077,,
300FDQ002,,
SMC31313,,
SMC49094,,
SMC22235,,
SMC27429,,
SMC18498,,
SMC23300,,
SMC37134,,
SMC28540,,
SMC34930,,
SMC28841,,
SMC42296,,
SMC12326,,
SMC17067,,
SMC27613,,
SMC35599,,
SMC14589,,
SMC06235,,
SMC17241,,
SMC48886,,
SMC09617,,
SMC03136,,
SMC44735,,
SMC13949,,
SMC14271,,
404SMB011,,
SMC31485,,
SMC38076,,
SMC29453,,
SMC20004,,
SMC14156,,
SMC07295,,
SMC05333,,
SMC12076,,
SMC49072,,
SMC10273,,
403STC004,,
SMC06529,,
SMC30928,,
SMCR8_546,,
SMC27287,,
SMC30465,,
SMC33128,,
SMC16865,,
SMC25456,,
SMC33115,,
520200sxx,,
SMC16619,,
114SRCHE1,,
SMC27268,,
SMC29583,,
SMC34223,,
SMC29961,,
SMC26920,,
SMC46481,,
SMC11088,,
SMC29520,,
SMC15461,,
SMC25027,,
SMC41274,,
SMC10815,,
SMC09400,,
SMC34382,,
SMC38120,,
603HCUH7x,,
SMC33137,,
SMC01974,,
SMC51101,,
SMC17855,,
SMC31880,,
106TRINFH,,
SMC48526,,
SMC40600,,
SMC38810,,
531CAL005,,
SMC34697,,
SMC42518,,
SMC08210,,
SMC42091,,
LALT301,,
SMC21435,,
SMC06662,,
SMC09380,,
SMC50775,,
SMC21287,,
519LSAC42,,
SMC15871,,
SMC39830,,
SMC08316,,
SMC21594,,
SMC31875,,
SMC05622,,
SMC33923,,
SMC44502,,
SMC16775,,
SMC24313,,
723NRFGDN,,
SMC29164,,
SMC24808,,
SMC28966,,
SMC46497,,
SMC33337,,
SMC14268,,
SMC19214,,
SMC20935,,
SMC07693,,
SMC24578,,
SMC09321,,
SMC06130,,
SMC26322,,
SMC50674,,
SMC39262,,
SMC36332,,
SMC29256,,
SMC05210,,
SMC27042,,
SMC26893,,
SMC22086,,
SMC33779,,
SMC01221,,
SMC29622,,
SMC45703,,
SMC28877,,
SMC23864,,
SMC43431,,
SMC38387,,
SMC33266,,
SMC38984,,
SMC19591,,
SMC47808,,
SMC44162,,
SMC17772,,
SMC13849,,
SMC05706,,
SMC28533,,
SMC32592,,
SMC41056,,
SMC30215,,
SMC19392,,
SMC03077,,
SMC13511,,
SMC08814,,
SMC41991,,
SMC21346,,
631CE0074,,
SMC25566,,
SMC37740,,
SMC18470,,
SMC24494,,
SMC42894,,
SMC47587,,
SMC18221,,
SMC16945,,
SMC39305,,
SMC04287,,
SMC39498,,
SMC04912,,
SMC11446,,
SMC37654,,
SMC33093,,
SMC18249,,
SMC48602,,
SMC21378,,
SMC37092,,
SMC33406,,
SMC10296,,
SMC22369,,
SMC27150,,
SMC27601,,
SMC26019,,
SMC39257,,
