"StationCode","County","CALWNUM","PSARegion","PSA9c_1987","PSA6c","PSA9c","PSA10c","Eco_III_1987","Eco_III_2010","New_Lat","New_Long","ELEV_RANGE","BDH_AVE","PPT_00_09","LPREM_mean","KFCT_AVE","TEMP_00_09","P_MEAN","N_MEAN","PRMH_AVE","AREA_SQKM","SITE_ELEV","MgO_Mean","S_Mean","SumAve_P","CaO_Mean","FlowStatus","Ag_2000_1K","Ag_2000_5K","Ag_2000_WS","CODE_21_2000_1K","CODE_21_2000_5K","CODE_21_2000_WS","URBAN_2000_1K","URBAN_2000_5K","URBAN_2000_WS","RoadDens_1K","RoadDens_5K","RoadDens_WS","PAVED_INT_1K","PAVED_INT_5K","PAVED_INT_WS","PerManMade_WS","InvDamDist","MINES_5K","MINES_WS","GravelMineDensL_R5K","MaxOfCOND","MaxOfW1_HALL","BPJ_Nonref","Active","UCS_Mean","AtmCa","AtmMg","AtmSO4","MINP_WS","MEANP_WS","TMAX_WS","XWD_WS","MAXWD_WS","LST32AVE","PCT_CENOZ","PCT_NOSED","PCT_QUART","PCT_SEDIM","PCT_VOLCNC","MAFLOWU","MAX_ELEV","NHD_SO","FinalCaty5","final_wgt5","LogWSA","Invasives","W1_Hall_screening","CondQR01","CondQR50","CondQR99","CondQR99c","Sampled","SiteStatus","RefStrata","StressStrata","DevelopmentSet","SiteSet"
"101WE1111","Del Norte",1101.000001,"North_Coast","NC","NC","NC","NC",1,1,41.99152758,-124.1821062,530.5,1.363,186165.2031,-0.7615,0.271,1711.800049,0.1172,0.0604,1.228,23.527246,13.5,2.95,0.0562,7902.145,3.2378,"Perennial",0.4336,0.0479,0.0306,1.8428,4.4998,5.1159,0,0,0,5.121869674,4.90375439,4.719546024,0,3,5,0,0,0,0,0,65,0.545454546,FALSE,TRUE,99.663,0.0331,0.0179,0.1543,11.4286,2349.0894,259.3929,128.5616,18,67.2466,0,0,0,100,0,55.18156,544,2,NA,NA,1.37157109347426,"Not detected",0.545454546,20,75,226,226,"Sampled","Stressed","MedNorMtn","Mtn","Calibration","StressCal"
"102PS0139","Siskiyou",1102.300102,"North_Coast","NC","NC","NC","NC",78,78,41.99594814,-122.9597016,1114.689941,1.5466,101608.1016,-0.7774,0.1791,1183.400024,0.1545,0.0293,3.2189,37.812269,1144.310059,9.7105,0.1035,7306.6675,5.2636,"Perennial",0,0,0,0.9408,2.7416,2.9345,0,0.1498,0.3546,1.630629253,2.122201611,2.179049013,0,1,1,0,0,1,1,0,NA,NA,FALSE,TRUE,88.8117,0.0312,0.0087,0.1205,13.0851,1295.314,212.7234,126.8462,17.735,153.6281,0,0,0,100,0,38.28728,2259,3,NA,NA,1.57763273884397,"Not detected",0,20,92,249,249,"Sampled","Intermediate","MedNorMtn","Mtn","Other","Other"
"103FS0404","Del Norte",1103.300503,"North_Coast","NC","NC","NC","NC",78,78,41.85545639,-123.852148,899.8500061,1.3833,197466.0938,-1.4364,0.1936,1914.800049,0.0745,0.0015,1.359,7.902904,315.1499939,32.062,0.141,8407.6836,1.4683,"Perennial",0,0,0,0,0.7055,0.7055,0,0,0,0,0.073315459,0.073315459,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,99.5166,0.0324,0.0143,0.1416,10.375,2534.4211,267.125,141.88,19.16,106.1538,0,100,0,0,0,21.00934,1215,2,NA,NA,0.897786706407972,"Not detected",0,20,87,220,220,"Sampled","Reference","SmallMtn","Mtn","Calibration","RefCal"
"103FS0405","Del Norte",1103.110005,"North_Coast","NC","NC","NC","NC",1,1,41.78889527,-124.0778375,441.7799988,1.3647,194059,-0.5997,0.211,1694.199951,0.1222,0.0497,1.173,4.610277,37.22000122,4.7082,0.1116,7215.1831,3.6608,"Perennial",0,0,0,2.3155,1.4236,1.4236,0,0,0,0.60924717,0.394192121,0.394192121,1,1,1,0,0,0,0,0,NA,NA,FALSE,TRUE,93.5551,0.0327,0.0162,0.1485,9.8333,2473,252.8333,123.2857,17,75.6429,0,3.223233428,0,96.77508924,0,6.97382,479,1,NA,NA,0.663727019957419,"Not detected",0,18.795,68,232,232,"Sampled","Reference","SmallMtn","Mtn","Calibration","RefCal"
"103RDCBCC","Del Norte",1103.120001,"North_Coast","NC","NC","NC","NC",1,1,41.95480952,-124.0625024,700,1.368033333,205763.2031,-0.918666667,0.246733333,1685.300049,0.1033,0.046166667,1.261,33.77259915,82.93000031,10.96143333,0.080433333,7702.592433,2.7269,"Perennial",0,0,0,0,1.2665,1.6154,0,0.1341,0.1839,1.465859773,0.878068923,1.026659951,0,0,0,0,0,1,1,0,NA,NA,FALSE,TRUE,99.43013333,0.0329,0.0329,0.150533333,10.31616667,2685.377767,257.3421667,126.2508,17.80106667,78.98796667,NA,100,NA,NA,NA,75.00259,783,3,NA,NA,1.52856448536343,"Not detected",0,21,81,258,258,"Sampled","Intermediate","MedNorMtn","Mtn","Other","Other"
"103STCNSR","Del Norte",1103.400006,"North_Coast","NC","NC","NC","NC",78,78,41.86197686,-123.9608581,1004,1.38,214944.7969,-1.4928,0.192,1715.800049,0.0588,5e-04,1.359,25.4398061,127.7300034,34.4251,0.1504,7454.742033,1.0691,"Perennial",0,0,0,0,0.0067,0.0318,0,0,0.0177,0,0,0.229204341,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,96.1794,0.032533333,0.032533333,0.144933333,11.42856667,2825.0161,272.6190667,127.8286333,17.9033,94.26973333,NA,100,NA,NA,NA,59.39858,1132,2,NA,NA,1.40551379683404,"Not detected",0,23,90,292,292,"Sampled","Reference","MedNorMtn","Mtn","Calibration","RefCal"
"103WE0585","Del Norte",1103.300503,"North_Coast","NC","NC","NC","NC",78,78,41.85230431,-123.8977554,1735.470001,1.4326,224726.4063,-1.1451,0.2069,1728.599976,0.141,0.0358,1.8982,315.804281,171.5299988,10.3517,0.0754,7476.7437,3.1802,"Perennial",0,0,0,6.6033,2.8369,4.0255,3.3281,0.9428,0.1872,1.281601727,0.615665799,0.905296261,0,4,31,0,0,0,3,0,NA,NA,FALSE,TRUE,120.7348,0.0323,0.0138,0.1397,10.592,2392.3157,281.2507,136.3242,18.4316,117.3947,0,63.86655023,0,36.133424,0,734.75947,1907,4,NA,NA,2.49941801294927,"Not detected",0,26,92,244.793333333333,244.793333333333,"Sampled","Intermediate","LargeMtn","Mtn","Other","Other"
"103WE0817","Del Norte",1103.110001,"North_Coast","NC","NC","NC","NC",1,1,41.82598252,-124.1153448,1903.61,1.4169,183068.4063,-1.2332,0.2038,1610.199951,0.1205,0.028,1.7656,1703.787961,13.39000034,14.3173,0.0914,8527.7578,2.5204,"Perennial",0,0.5844,0.0095,6.3028,6.1721,3.0318,0.3376,0.1169,0.1658,1.798454437,1.203230455,0.857783301,0,5,112,0,0,0,35,0,130.5,NA,FALSE,TRUE,114.2385,0.0325,0.0147,0.1432,14.2498,2806.0056,273.4314,137.7083,18.7329,103.219,0,49.81520116,0,50.18479527,0,3901.63773,1917,5,NA,NA,3.2314155451856,"Detected",0,24,89,237.94,237.94,"Sampled","Intermediate","LargeMtn","Mtn","Other","Other"
"103WE1072","Del Norte",1103.300501,"North_Coast","NC","NC","NC","NC",78,78,41.84384886,-124.0027972,1826.589996,1.4163,205744.2969,-1.2718,0.2007,1705.099976,0.112,0.024,1.7009,759.120603,80.41000366,18.1701,0.0953,8574.0371,2.6875,"Perennial",0,0,0,12.5745,5.5789,2.5603,3.1978,1.5514,0.2703,2.606969032,1.196323034,0.648219478,0,3,40,0,0,1,8,0,117.8,NA,FALSE,TRUE,114.6613,0.0326,0.0151,0.1444,14.2386,2787.6125,276.3562,139.4448,18.8631,106.4566,0,82.85741391,0,17.14258571,0,1755.50911,1907,5,NA,NA,2.88031077860503,"Not detected",0,25,91,241.567272727273,241.567272727273,"Sampled","Intermediate","LargeMtn","Mtn","Other","Other"
"103WER026","Del Norte",1103.300502,"North_Coast","NC","NC","NC","NC",78,78,41.84998645,-124.0332179,366.699997,1.458,205588.5938,-0.767,0.22,1681.400024,0.2658,0.0139,1.645,1.509665,235.3000031,4.0155,0.0294,7309.7998,6.2065,"Perennial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,FALSE,TRUE,139.1237,0.0327,0.0162,0.1485,-1,2536,-1,117,17,80,0,100,0,0,0,4.8308,602,1,NA,NA,0.178880586503456,"Not detected",0,10,66,790.37,790.37,"Sampled","Reference","SmallMtn","Mtn","Calibration","RefCal"
"103WER029","Del Norte",1103.110001,"North_Coast","NC","NC","NC","NC",1,1,41.80976601,-124.1120887,238.7000008,1.3645,190371.4063,-0.6658,0.211,1651.599976,0.1154,0.0589,1.173,4.733672,46.29999924,2.9977,0.0574,6928.7534,3.3568,"Perennial",0,0,0,1.918,0.4177,0.4177,0,0,0,0.164008295,0.035652446,0.035652446,1,1,1,0,0,0,0,0,68,0,FALSE,TRUE,101.4091,0.0328,0.0167,0.1502,8.8333,2121.8999,252.3333,119,17,70.6,0,0,0,100,0,NA,285,NA,NA,NA,0.675198162016144,"Not detected",0,19.535,70,226,226,"Sampled","Reference","SmallMtn","Mtn","Calibration","RefCal"
"103WER030","Del Norte",1103.300503,"North_Coast","NC","NC","NC","NC",78,78,41.85648815,-123.9119393,711.7200012,1.38,240606.0938,-1.4928,0.192,1727.400024,0.0588,5e-04,1.359,2.922895,418.2799988,34.4251,0.1504,7653.818667,1.0691,"Perennial",0,0,0,0.6158,0.6444,0.6444,0,0,0,0.171643775,0.177490477,0.177490477,1,1,1,0,0,0,0,0,188,0,FALSE,TRUE,96.1794,0.0325,0.026633333,0.143733333,11.83333333,2700.5,271.8333333,137.9841333,19,100.1785667,0,100,0,0,0,9.96293,1130,1,NA,NA,0.465813214351738,"Not detected",0,23,89,278.915,278.915,"Sampled","Reference","SmallMtn","Mtn","Calibration","RefCal"
"105FS0415","Siskiyou",1105.310102,"North_Coast","NC","NC","NC","NC",78,78,41.61202148,-123.2922522,1128.219971,1.4709,167678.5938,-0.8082,0.1725,1678.300049,0.2223,0.0088,7.0039,9.580132,948.7800293,3.3746,0.0462,6315.229,5.7836,"Perennial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,196.5145,0.0314,0.0099,0.1249,9.1818,2471.8999,261.8182,118.4,17.5667,146.0345,0,80.78490249,0,0,19.21476729,13.68466,2077,1,NA,NA,0.981371493053145,"Not detected",0,10,50,207.046666666667,207.046666666667,"Sampled","Reference","SmallMtn","Mtn","Validation","RefVal"
"105FS0418","Siskiyou",1105.310506,"North_Coast","NC","NC","NC","NC",78,78,41.5728015,-123.5446885,1567,1.4471,143983.2969,-1.0255,0.1731,2075.699951,0.1591,0.0199,4.5845,189.125786,244,7.6534,0.0693,6946.626,3.7351,"Perennial",0,0,0,0.4292,1.5823,1.2054,0,0.0206,0.0224,0.378144952,0.096839803,0.13727005,0,0,5,0,0,0,1,0,121,0.14,FALSE,TRUE,150.5628,0.032,0.0121,0.1338,15.5683,2780.2031,294.696,121.4839,16.9508,117.3373,0,0.722535002,0,99.27741969,0,265.4263,1811,4,NA,NA,2.27675074594732,"Not detected",0.14,18.6533333333333,78,232,232,"Sampled","Reference","LargeMtn","Mtn","Validation","RefVal"
"105FS0423","Siskiyou",1105.310306,"North_Coast","NC","NC","NC","NC",78,78,41.7369287,-123.548724,1411.950012,1.2541,171676.7969,-0.9122,0.1411,1749.400024,0.1144,0.005,4.7216,40.547444,459.0499878,22.8814,0.101,6396.8818,4.5775,"Perennial",0,0,0,0,0,0.0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,139.436,0.0319,0.0116,0.1317,10.1837,2382.6526,289.7755,113.7107,15.9752,124.3306,0,99.61293673,0,0.38720073,0,57.79993,1871,3,NA,NA,1.60796348267338,"Not detected",0,21,87,257.495555555556,257.495555555556,"Sampled","Reference","MedNorMtn","Mtn","Calibration","RefCal"
"105FS0424","Siskiyou",1105.310304,"North_Coast","NC","NC","NC","NC",78,78,41.73447257,-123.5482576,1749.890015,1.3196,171676.7969,-0.6265,0.1503,1749.400024,0.1364,0.0062,5.5389,159.598563,456.1099854,17.6642,0.0846,7875.4712,4.8136,"Perennial",0,0,0,0,0,0.2695,0,0,0,0,0,0.03893171,0,0,0,0,0,0,2,0,NA,NA,FALSE,TRUE,148.1364,0.032,0.0121,0.1339,18.1392,2959.3452,275.299,123.2555,17.2294,125.4069,0,88.64296613,0,11.35705715,0,225.31577,2206,4,NA,NA,2.20302897671408,"Not detected",0,15,77.8825503355705,209.960566037736,209.960566037736,"Sampled","Reference","LargeMtn","Mtn","Calibration","RefCal"
"105FS0425","Siskiyou",1105.230103,"North_Coast","NC","NC","NC","NC",78,78,41.35826851,-123.0745063,1477.659973,1.496466667,107109.5,-0.427366667,0.155233333,1845.199951,0.188133333,0.021533333,3.608933333,147.210189,861.3400269,4.924066667,0.031933333,5120.9427,7.255133333,"Perennial",0,0,0,2.5205,0.1573,0.0281,0,0,0,0.069696555,0.058846139,0.102048819,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,161.7357,0.0312,0.023966667,0.123733333,9.6228,1345.528633,285.3749,98.4218,14.34703333,145.6772,0,1.885598907,0,98.74293655,0,136.42421,2339,3,NA,NA,2.16793787028229,"Not detected",0,23,111,357.330967741935,357.330967741935,"Sampled","Reference","LargeMtn","Mtn","Calibration","RefCal"
"105FS0428","Siskiyou",1105.220202,"North_Coast","NC","NC","NC","NC",78,78,41.4410528,-123.3582948,1655.540009,1.494066667,162172,-0.809,0.197833333,1938.199951,0.2223,0.0088,5.8547,40.400047,407.4599915,3.3695,0.0462,5113.714167,5.780966667,"Perennial",0,0,0,0,1.022,0.3565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,196.0416,0.0315,0.0245,0.127633333,8.090266667,1918.847533,313.2986,107.8238333,15.26043333,130.2168,0,98.89758238,0,0,1.653568884,40.41838,2063,2,NA,NA,1.60638187035389,"Not detected",0,23,94,343.033888888889,343.033888888889,"Sampled","Reference","MedNorMtn","Mtn","Calibration","RefCal"
"105PS0028","Siskiyou",1105.820105,"Deserts_Modoc","DM","DM","DM","DMmo",9,9,41.7509508,-122.0031249,1289.380005,1.2891,31902.69922,-0.2913,0.1431,1677.300049,0.2491,0.1156,7.1335,638.734671,1305.619995,3.2514,0.0242,5445.1162,5.7148,"Perennial",6.7896,0.4541,0.2341,4.8617,1.7157,0.9261,0.0838,0.3028,0.1037,1.312064161,0.666793357,0.930625603,0,0,26,0,0,0,0,0,82,1.5,FALSE,TRUE,116.1924,0.0313,0.0081,0.1201,11.9173,762.935,265.8358,82.7828,11.5253,160.999,0,0,0,0,100,227.20498,2595,3,NA,NA,2.80532049063005,"Not detected",1.5,15,80,249,249,"Sampled","Intermediate","LargeMtn","Mtn","Other","Other"
"105PS0043","Siskiyou",1105.330204,"North_Coast","NC","NC","NC","NC",78,78,41.72939189,-123.2367063,1251.789978,1.3913,172651,-0.7149,0.1423,1649.800049,0.0813,0.0106,4.5446,50.744324,886.210022,11.021,0.0662,6413.3979,5.3628,"Perennial",0,0,0,1.0957,3.0399,1.9088,0,0,0,1.352269577,0.726252942,0.404353402,0,0,0,0,0,0,0,0,204.5,0,FALSE,TRUE,133.2706,0.0312,0.0095,0.123,9.0345,2137.9646,259.7242,120.5253,18.1899,146.1761,0,0,0,0,100,42.72291,2138,3,NA,NA,1.70538747134706,"Not detected",0,10,72,209.423947368421,209.423947368421,"Sampled","Reference","MedNorMtn","Mtn","Calibration","RefCal"
