DelineationCode,SampleDate,CFC_ALG,CFC_ALL_EMAP,CFC_ALL_SWAMP,CFC_AQM,CFC_BRS,CFC_HUM,CFC_LTR,CFC_LWD,CFC_OHV,CFC_RCK,CFC_UCB,FL_F,FL_M,FL_N_F,FL_N_M,FL_Q_F,FL_Q_M,MWVM_F,MWVM_M,NFC_DLU,NFC_EFR,NFC_ERN,PBM_E,PBM_S,PBM_V,PCT_BDRK,PCT_BIGR,PCT_CB,PCT_CF,PCT_CF_WT,PCT_CPOM,PCT_DR,PCT_FAST,PCT_FAST_WT,PCT_FN,PCT_GC,PCT_GF,PCT_GL,PCT_GL_WT,PCT_HP,PCT_MAA,PCT_MAP,PCT_MAU,PCT_MCP,PCT_MIAT1,PCT_MIAT1P,PCT_MIATP,PCT_NSA,PCT_OT,PCT_POOL,PCT_POOL_WT,PCT_RA,PCT_RA_WT,PCT_RC,PCT_RI,PCT_RI_WT,PCT_RN,PCT_RN_WT,PCT_RR,PCT_RS,PCT_SA,PCT_SAFN,PCT_SB,PCT_SFGF,PCT_SLOW,PCT_SLOW_WT,PCT_WD,PCT_XB,PWVZ,RBP_CHN,RBP_EPI,RBP_FLW,RBP_PLS,RBP_SED,SB_PP_D10,SB_PP_D25,SB_PP_D50,SB_PP_D75,SB_PP_D90,SB_PT_D10,SB_PT_D25,SB_PT_D50,SB_PT_D75,SB_PT_D90,SINU,SINU_WORKING,Slope_0,Slope_0_5,Slope_1,Slope_2,W1_HALL_EMAP,W1_HALL_SNARL,W1_HALL_SWAMP,W1H_BLDG,W1H_BRDG,W1H_CROP,W1H_LDFL,W1H_LOG,W1H_MINE,W1H_ORVY,W1H_PARK,W1H_PIPE,W1H_PSTR,W1H_PVMT,W1H_PWRL,W1H_ROAD,W1H_TRAL,W1H_VEGM,W1H_WALL,XBEARING,XBKF_H,XC,XCDENBK,XCDENMID,XCM,XCMG,XEMBED,XFC_ALG,XFC_AQM,XFC_BIG,XFC_BRS,XFC_HUM,XFC_LTR,XFC_LWD,XFC_NAT_EMAP,XFC_NAT_SWAMP,XFC_OHV,XFC_RCK,XFC_UCB,XG,XGB,XGH,XGW,XKBF_W,XM,XMIAT,XMIATP,XMW,XPCAN,XPCM,XPCMG,XPGVEG,XPMGVEG,XPMID,XSDGM,XSLOPE,XSPDGM,XSPGM,XWAK,XWDA,XWDEPTH,XWDM,XWDO,XWDR,XWIDTH,XWPH,XWSC,XWSL,XWTB,XWTC,XWTF,XWV_F,XWV_M
102PS0139,7/15/2010,0,0,0,0,0,0,0,0,0,0,0,NA,NA,,NA,NA,NA,0,0,Forest,NO,NO,50,41.66666667,8.333333333,NA,NA,NA,0,0,NA,80,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,100,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0.416666667,29.41176471,8.021390374,2.916666667,4.583333333,,,,NA,,,,,NA,NA,,,,1.666666667,9.583333333,0.833333333,0.833333333,-30,2.5,,0,,0.083333333,0.083333333,0.083333333,0.25,0,6,NA,,,NA,8,,,,5,,25,NA,0,0,50,85,185,0,0
102PS0139,8/9/2010,0,4,4,9,2,0,0,3,0,11,0,,,,,13,0.36,1.9,0.6,,,,0,100,0,7,85,31,0,0,17,0,96,96,0,26,7,0,0,0,3,3,0,6,0,0,40,3,0,5,5,16,16,0,70,70,10,10,7,0,8,8,21,15,5,5,1,0,18.2,,,,,,8,29,85,210,625,8,30,96.5,625,625,1.03,,0,0,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,204,0.9,45,,72,76,132,23,0,4.1,27.5,2.7,0,0,1.4,30.2,34.3,0,26.1,0,56,33,27,29,8,31,0.1,0.3,,1,1,1,1,1,1,95.4,3.4,71,,80,0.8,15.6,39.3,9.7,33.3,5.2,8.6,151,0.1,0.83,13.3,55.9,0.75,0.23
103FS0404,9/14/2010,0,5,6,0,8,0,10,5,6,11,2,,0.07,,,2.7,0.07,1.2,0.4,,,,0,100,0,2,97,39,0,0,32,0,77,77,0,23,4,7,7,0,4,4,0,0,0,0,43,4,0,16,16,10,10,0,24,24,43,43,2,0,0,0,25,4,23,23,0,8,25,,,,,,29,54,110,625,625,29,54,110,625,625,1.08,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,280,0.8,33,,86,96,171,10,0,0,48.4,7.3,0,4.5,9.5,58.4,62.9,2.7,38,0.9,75,20,25,50,8.7,63,0.1,0.3,,0.95,0.95,0.95,1,1,1,165.7,11,154.7,,100,0.6,12,30.5,9.9,38.3,4.6,8.4,160.9,0.1,0.28,12.5,54.5,0.48,0.15
103FS0405,9/14/2010,0,5,6,0,7,0,1,7,4,5,2,,0.005,,,0.2,0.005,0.3,0.1,,,,18,36,45,1,79,44,1,1,34,0,63,63,1,23,12,23,23,1,0,0,0,0,0,0,48,0,0,14,14,0,0,0,61,61,1,1,1,0,6,7,10,19,37,37,2,1,42.9,,,,,,9,28,82,157,260,9,30,90,157,400,1.16,,0,0,10,30,0.06,,0.06,0,0,0,0,0,0,0,0,0,0,0,,0.06,,0,0,176,1,56,,93,114,190,26,0,0,14.8,5,0,0.5,9.8,21.6,22.1,1.8,4.1,0.9,76,17,64,12,9.7,58,0.2,0.4,,1,1,1,1,0.95,1,63.5,4,58.1,,48,0.3,7.6,17.4,10,46.1,3.5,8.1,78.2,0,0.75,12.7,54.9,0.05,0.01
103RDCBCC,7/21/2011,0,3,4,0,9,0,1,2,0,11,0,,,,,,,,,,,,0,100,0,9,87,45,0,0,33,0,68,68,0,21,14,30,30,0,2,2,0,0,0,0,73,2,0,2,2,0,0,0,51,51,17,17,4,5,0,0,9,14,32,32,0,3,,,,,,,12,25,79.5,160,330,12,30,85,200,2500,1.11,,0,0,30,50,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,236,0.5,76,,97,130,192,29,0,0,46.6,5.9,0,0.5,0.9,52.5,53,0,45.7,0,62,36,15,47,15.8,54,0.3,0.4,,1,1,1,1,0.91,1,106.3,2.4,73.2,,40,1.3,16,35.7,9.52,51.9,8.3,7.92,96.3,0,0.83,13.6,56.5,,
103STCNSR,8/9/2011,0,3,4,0,4,0,1,0,2,11,0,,,,,8.5,0.24,1.2,0.4,,,,9,91,0,18,100,31,0,0,19,0,74,74,0,10,0,21,21,0,23,23,0,0,64,64,99,78,0,5,5,3,3,0,50,50,21,21,0,18,0,0,26,0,26,26,0,15,23.1,,,,,,56,132,265,625,2500,59,145,625,2500,5660,1.06,,0,0,0,30,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,261,0.6,8,,11,21,60,3,0,0,68.4,1.8,0,0.5,0,71.1,71.6,0.9,68.4,0,39,53,16,23,7.9,13,2.1,2.1,,0.82,0.77,0.77,1,0.82,0.95,552.4,4.4,330.3,,76,0.9,14.5,38,7.64,44.1,6.4,8.5,152.2,0.1,0,20.4,68.7,0.39,0.12
103WER030,8/10/2011,0,4,5,0,10,0,1,7,2,11,0,,0.007,,,0.2,0.007,0.5,0.2,,,,0,95,5,0,99,50,4,4,50,0,34,34,0,16,1,42,42,0,2,2,0,0,9,9,100,9,0,24,24,0,0,0,28,28,2,2,0,0,0,0,25,1,66,66,0,8,14.3,,,,,,41,71,156,490,625,41,71,156,490,625,1.07,,0,0,0,0,0.03,,0.03,0,0,0,0,0,0,0,0,0,0,0,,0.03,,0,0,154,0.2,20,,52,41,106,6,0,0,52.5,4.5,0,0.5,6.8,57.9,58.4,0.9,45.7,0,65,34,16,49,4.5,21,0.6,0.6,,1,1,1,1,1,1,172.8,15.7,172.8,,0.1,0.2,6.4,19,6,54.7,3.5,8.4,193,0.1,0,15.8,60.4,0.16,0.05
105FS0415,9/21/2010,1,5,5,0,10,0,0,3,2,11,0,,0.04,,,1.7,0.04,1.2,0.4,,,,0,95,5,0,80,25,2,2,54,0,52,52,1,10,5,32,32,0,3,3,0,0,0,0,90,3,0,15,15,2,2,0,22,22,26,26,0,0,14,15,24,20,47,47,0,21,18.8,,,,,,1.03,40,157,625,2500,1.03,40,157,625,2500,1.02,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,49,1,57,,91,88,132,26,0.5,0,46.9,6.4,0,0,1.4,54.2,54.2,0.9,45.5,0,44,58,18,26,10.2,31,0.3,0.3,,1,1,1,1,1,1,124.1,12.3,124.1,,32,0.4,11.6,23.5,8.1,29.3,3.4,8,63,0,0,10.8,51.4,0.34,0.1
105FS0418,5/19/2009,0,3,4,3,1,0,2,0,0,11,0,,8,,,282.7,8,3.3,1,,,,0,100,0,18,83,22,0,0,17,0,100,100,0,23,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,20,20,0,0,0,80,80,12,6,12,12,17,17,0,0,1,3,8.3,,,,,,1.03,32,70,220,625,1.03,40,157,625,5660,,,,,,,0.14,,0.14,0,0,0,0.14,0,0,0,0,0,0,0,,0,,0,0,,0,48,,59,79,116,24,0,1.5,19.5,0.5,0,0.9,0,20,22.4,0,19.5,0,37,49,10,27,20.3,31,0,0.2,,1,1,1,1,0.95,1,140.7,,64.4,,42,10.4,48.6,119.8,11.29,43.8,21.3,8,74.8,0,0.75,13.8,56.8,1.68,0.51
105FS0418,6/23/2009,7,5,6,9,11,0,9,0,9,11,0,,0.72,,,25.6,0.72,0.6,0.2,,,,0,100,0,12,77,18,1,1,26,0,41,41,0,15,4,25,25,0,12,12,0,2,9,11,81,16,0,34,34,0,0,0,28,28,12,12,11,1,16,16,29,20,59,59,3,3,10.5,,,,,,1.03,20,100,390,625,1.03,30,157.5,580,5660,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0.8,50,,40,82,140,11,3.2,4.1,35,5,0,4.1,0,44.1,52.3,4.1,35,0,58,31,17,41,23.2,32,0.5,0.6,,1,1,1,1,1,1,109.3,,61.4,,48,8.5,44.4,111.9,10.1,43,19.1,8.1,64.7,0,1.1,16.9,62.4,0.29,0.09
