"","XMIAT.result","XMIAT.count","XMIAT.sd","XMIATP.result","XMIATP.count","XMIATP.sd","PCT_MIATP.result","PCT_MIAT1.result","PCT_MIAT1P.result","PCT_MAA.result","PCT_MCP.result","PCT_MAU.result","PCT_MAP.result","PCT_NSA.result"
"102PS0139 2010-07-15",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"202PES162 2010-07-20",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"403S00640 2009-06-11",0.0238095238095238,105,0.0737378536592371,0.25,10,0,9.52380952380952,0,0,1.98019801980198,0,0,2.06185567010309,2.06185567010309
"403S00772 2009-05-20",0.0238095238095238,105,0.0737378536592371,0.25,10,0,9.52380952380952,0,0,45.8333333333333,7.61904761904762,0,47.8260869565217,49.438202247191
"403S01163 2009-06-08",0.0666666666666667,105,0.111084398498365,0.25,28,0,26.6666666666667,0,0,23.0769230769231,16.1904761904762,0,25.609756097561,26.25
"403S01195 2009-06-10",0.0452380952380952,105,0.0967062884568849,0.25,19,0,18.0952380952381,0,0,22.3404255319149,20.952380952381,0,23.8636363636364,24.7058823529412
"403S01272 2009-06-09",0.00714285714285714,105,0.0418494160816328,0.25,3,0,2.85714285714286,0,0,57.6923076923077,49.5238095238095,2.88461538461538,59.2233009708738,59.2233009708738
"403S01784 2009-06-09",0.00952380952380952,105,0.0480860797141029,0.25,4,0,3.80952380952381,0,0,22.3300970873786,21.9047619047619,4.85436893203883,27.4509803921569,27.7227722772277
"403S03832 2009-06-08",0.126190476190476,105,0.125593827570504,0.25,53,0,50.4761904761905,0,0,27.1844660194175,2.85714285714286,0,27.7227722772277,27.7227722772277
"403S14156 2009-06-09",0,105,0,0,0,NA,0,0,0,60.3960396039604,50.4761904761905,2.97029702970297,63.6363636363636,64.9484536082474
"404S02920 2009-05-12",0.0752427184466019,103,0.13930390434258,0.298076923076923,26,0.100479619058563,25.2427184466019,0,0,23.4042553191489,50.4761904761905,0,25.2873563218391,26.1904761904762
"404S03048 2009-05-13",0.0452380952380952,105,0.0967062884568849,0.25,19,0,18.0952380952381,0,0,6.79611650485437,59.0476190476191,0,6.93069306930693,6.93069306930693
"404S05992 2009-05-12",0.0266990291262136,103,0.0775910388690192,0.25,11,0,10.6796116504854,0,0,1.92307692307692,45.7142857142857,0.952380952380952,2.88461538461538,2.88461538461538
"404S06456 2009-05-14",0.019047619047619,105,0.0666437689614861,0.25,8,0,7.61904761904762,0,0,40,8.57142857142857,0,41.7582417582418,44.7058823529412
"404S08040 2009-05-12",0.178571428571429,105,0.1134801623754,0.25,75,0,71.4285714285714,0,0,44.7619047619048,5.71428571428571,0,44.7619047619048,44.7619047619048
"404S08616 2009-05-13",0.00714285714285714,105,0.0418494160816328,0.25,3,0,2.85714285714286,0,0,74.7474747474748,15.2380952380952,0,75.5102040816327,78.7234042553192
"404S11406 2009-05-11",0.00238095238095238,105,0.0243975018237133,0.25,1,NA,0.952380952380952,0,0,70.1030927835051,67.6190476190476,0,72.3404255319149,76.4044943820225
"404S16516 2009-05-18",0.019047619047619,105,0.0666437689614861,0.25,8,0,7.61904761904762,0,0,63.8095238095238,5.71428571428571,30.4761904761905,73.3333333333333,73.3333333333333
"404S17266 2009-05-19",0.00476190476190476,105,0.0343369961416153,0.25,2,0,1.9047619047619,0,0,48.5714285714286,16.1904761904762,5.71428571428571,48.5714285714286,48.5714285714286
"404S17664 2009-05-20",0.00714285714285714,105,0.0418494160816328,0.25,3,0,2.85714285714286,0,0,20.2020202020202,1.9047619047619,0,21.2765957446809,21.505376344086
"404S22464 2009-05-19",0.00238095238095238,105,0.0243975018237133,0.25,1,NA,0.952380952380952,0,0,44.7619047619048,9.52380952380952,1.9047619047619,45.7142857142857,45.7142857142857
"901S00313 2009-04-30",0.669047619047619,105,0.854495491964437,0.716836734693878,98,0.865011288811118,93.3333333333333,11.4285714285714,12.2448979591837,38,2.85714285714286,24,51.4851485148515,60
"901S00469 2009-05-13",6.0703125,96,8.31166769675712,6.54775280898876,89,8.4508838635119,92.7083333333333,47.9166666666667,51.685393258427,7.21649484536082,39,14.4329896907216,22.8260869565217,74.0740740740741
"901S00531 2009-05-07",0.0795454545454545,44,0.140314506294014,0.291666666666667,12,0.0973123680201904,27.2727272727273,0,0,98.0952380952381,4.76190476190476,0,98.0952380952381,103
"901S00997 2009-05-14",3.00872093023256,86,5.57402690985539,3.75,69,6.00137851811124,80.2325581395349,23.2558139534884,28.9855072463768,29.7872340425532,12.8712871287129,66.3157894736842,82.1052631578947,102.469135802469
"901S01705 2009-05-14",1.0875,100,1.144472332209,1.09848484848485,99,1.14498584220493,99,26,26.2626262626263,51.4563106796116,16.1904761904762,0.970873786407767,52.9411764705882,67.6767676767677
"901S01811 2009-05-07",0.0922330097087379,103,0.318910313899443,0.431818181818182,22,0.583410631860584,21.3592233009709,0.970873786407767,4.54545454545455,15.5339805825243,36.1904761904762,10.6796116504854,25.7425742574257,27.2727272727273
"901S06030 2009-04-30",0.118421052631579,95,0.444891370411885,0.625,18,0.871315773110179,18.9473684210526,2.10526315789474,11.1111111111111,28.4210526315789,55.2380952380952,0,30.3370786516854,35.4430379746835
"901SJMS1x 2008-06-25",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"901SJMS1x 2008-07-03",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"901SJOF1x 2008-06-25",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"901SJOF1x 2008-07-03",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"901TCSMP1 2010-04-05",0.401315789473684,38,0.646036443841198,0.525862068965517,29,0.695472692497593,76.3157894736842,5.26315789473684,6.89655172413793,0,0,0,0,6.06060606060606
"901TCSMP1 2010-05-05",1.30693069306931,101,2.74838161199432,1.78378378378378,74,3.07979616061945,73.2673267326733,19.8019801980198,27.027027027027,24.2718446601942,2.9126213592233,0.970873786407767,25.4901960784314,46.3917525773196
"901TCSMP1 2010-05-25",0.0681818181818182,66,0.135486690699284,0.3,15,0.103509833901353,22.7272727272727,0,0,48.5294117647059,0,10.2941176470588,69.0909090909091,131.034482758621
"902S00565 2009-04-27",0.0288461538461538,104,0.0941730249372939,0.3,10,0.105409255338946,9.61538461538462,0,0,36.5384615384615,12.3809523809524,0,36.8932038834951,37.2549019607843
"902S01097 2009-05-11",0.00714285714285714,105,0.0418494160816328,0.25,3,0,2.85714285714286,0,0,17.1428571428571,6.66666666666667,0.952380952380952,18.0952380952381,18.0952380952381
"902SMAS1x 2008-06-02",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"903ACPCT1 2010-05-11",0.0631313131313131,99,0.144382191681622,0.347222222222222,18,0.125407831426138,18.1818181818182,0,0,7.4468085106383,10,0,7.86516853932584,7.95454545454545
"903ACPCT1 2010-05-25",0.0126262626262626,99,0.0550247784367366,0.25,5,0,5.05050505050505,0,0,0.99009900990099,0,0.99009900990099,2.06185567010309,2.1505376344086
"903ACPCT1 2010-06-15",0.0144230769230769,104,0.0585724499186243,0.25,6,0,5.76923076923077,0,0,0,0.952380952380952,1.9047619047619,1.9047619047619,1.92307692307692
"903ACPCT1 2010-06-30",0.080952380952381,105,0.14501010448562,0.303571428571429,28,0.104463861754668,26.6666666666667,0,0,0.952380952380952,9.52380952380952,0,0.952380952380952,0.952380952380952
"903ACPCT1 2010-07-13",0.0375,60,0.0900211839475689,0.25,9,0,15,0,0,0,3.33333333333333,0,0,0
"903CVPCT1 2010-05-10",0.139473684210526,95,0.339578488470673,0.401515151515151,33,0.479824975981615,34.7368421052632,1.05263157894737,3.03030303030303,34.3434343434343,48,2.02020202020202,36.3636363636364,38.5416666666667
"903CVPCT1 2010-06-01",0.0642857142857143,105,0.143063038437721,0.3375,20,0.122340121232398,19.047619047619,0,0,19.047619047619,25.7142857142857,0,19.047619047619,19.047619047619
"903CVPCT1 2010-06-15",0.00952380952380952,105,0.0480860797141029,0.25,4,0,3.80952380952381,0,0,1.9047619047619,25.7142857142857,1.9047619047619,3.80952380952381,3.80952380952381
"903CVPCT1 2010-06-30",0.216666666666667,105,0.130027117487281,0.274096385542169,83,0.0742283251533339,79.0476190476191,0,0,1.9047619047619,38.0952380952381,0,1.9047619047619,1.9047619047619
"903CVPCT1 2010-07-13",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"904S00537 2009-05-04",0.09375,104,0.135762410257166,0.270833333333333,36,0.0700764888226735,34.6153846153846,0,0,13.4615384615385,15.3846153846154,4.80769230769231,17.4757281553398,17.4757281553398
"905DGCC1 2010-05-12",0.0572916666666667,96,0.117423920872122,0.275,20,0.0769483764063866,20.8333333333333,0,0,15.0537634408602,11.2244897959184,1.0752688172043,17.0454545454545,18.0722891566265
"905DGCC1 2010-06-02",0.0212765957446809,94,0.0701340351556301,0.25,8,0,8.51063829787234,0,0,8.42105263157895,7.61904761904762,0,9.19540229885057,10.3896103896104
"905DGCC1 2010-06-16",0.0238095238095238,105,0.0737378536592371,0.25,10,0,9.52380952380952,0,0,4.76190476190476,9.52380952380952,1.9047619047619,6.66666666666667,6.66666666666667
"905DGCC1 2010-06-29",0.222222222222222,90,0.619718634557231,0.645161290322581,31,0.925954897993568,34.4444444444444,4.44444444444444,12.9032258064516,2.22222222222222,13.3333333333333,0,2.56410256410256,8.69565217391304
"905DGCC1 2010-07-13",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"905DGSY1x 2008-07-09",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"905DGSY1x 2008-07-16",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"905DGSY1x 2010-05-03",0.522959183673469,98,0.908923923850495,0.899122807017544,57,1.0424683631749,58.1632653061224,11.2244897959184,19.2982456140351,20.2020202020202,35.7142857142857,1.01010101010101,21.4285714285714,30.9278350515464
"905DGSY1x 2010-06-01",0.0461165048543689,103,0.109295722336227,0.279411764705882,17,0.0830263955193839,16.504854368932,0,0,7.76699029126214,27.6190476190476,0,7.84313725490196,8
"905DGSY1x 2010-06-14",0.0558252427184466,103,0.104623735467746,0.25,23,0,22.3300970873786,0,0,0.952380952380952,21.9047619047619,0,0.952380952380952,0.970873786407767
"905DGSY1x 2010-06-29",0.120192307692308,104,0.130257256803461,0.255102040816327,49,0.0357142857142857,47.1153846153846,0,0,0,27.8846153846154,0,0,0
"905DGSY1x 2010-07-20",0.0192307692307692,104,0.0669399427641421,0.25,8,0,7.69230769230769,0,0,0.952380952380952,20,0,0.952380952380952,0.961538461538462
"905DGSY1x 2010-08-19",0.0714285714285714,105,0.1134801623754,0.25,30,0,28.5714285714286,0,0,6.93069306930693,33.3333333333333,0,7.21649484536082,7.21649484536082
"905DGSY1x 2010-09-15",0.227040816326531,98,0.336918140456104,0.370833333333333,60,0.363864808507303,61.2244897959184,1.02040816326531,1.66666666666667,53.921568627451,41.9047619047619,0.980392156862745,54.4554455445545,57.2916666666667
"905DGUT1 2010-05-13",0.235294117647059,85,0.3605405605453,0.4,50,0.394477179185259,58.8235294117647,1.17647058823529,2,34.8837209302326,15.1515151515152,0,37.5,50.8196721311475
"905DGUT1 2010-06-02",0.053125,80,0.110334287795278,0.265625,16,0.0625,20,0,0,13.4146341463415,10.4761904761905,1.21951219512195,18.75,24
"905DGUT1 2010-06-16",0.0833333333333333,105,0.118416366678918,0.25,35,0,33.3333333333333,0,0,7.61904761904762,12.3809523809524,0,7.61904761904762,7.61904761904762
"905DGUT1 2010-06-29",0.129411764705882,85,0.170833760332868,0.314285714285714,35,0.11085989340779,41.1764705882353,0,0,5.88235294117647,15.2941176470588,0,7.14285714285714,9.09090909090909
"905DGUT1 2010-07-13",0.170833333333333,60,0.117275449576825,0.25,41,0,68.3333333333333,0,0,1.66666666666667,20,3.33333333333333,9.375,17.6470588235294
"905S01953 2009-04-29",0.330952380952381,105,0.559549138231164,0.457236842105263,76,0.612900424069491,72.3809523809524,3.80952380952381,5.26315789473684,26,1.9047619047619,64,71.7171717171717,75.7894736842105
"907S00577 2009-05-12",1.41019417475728,103,3.60977267780894,2.04577464788732,71,4.20338083722813,68.9320388349515,16.504854368932,23.943661971831,8.82352941176471,41.9047619047619,8.82352941176471,16.1616161616162,30.9278350515464
"907S01418 2009-05-12",0.893564356435644,101,1.06145332837428,0.95,95,1.06977329075698,94.059405940594,19.8019801980198,21.0526315789474,23.3009708737864,20,0,23.7623762376238,38.3838383838384
"907S01434 2009-05-13",0.808673469387755,98,2.65615435435033,0.921511627906977,86,2.81886022750617,87.7551020408163,6.12244897959184,6.97674418604651,23.3009708737864,12.3809523809524,13.5922330097087,33.6633663366337,40.4040404040404
"907SRSD1x 2008-07-02",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"907SRSD1x 2008-07-09",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"907SRSD1x 2010-05-04",0.192708333333333,96,0.532470862393658,0.578125,32,0.799287737361693,33.3333333333333,3.125,9.375,55.1020408163265,46.4646464646465,0,56.25,61.1111111111111
"907SRSD1x 2010-06-01",0.0214285714285714,105,0.0784026659111667,0.28125,8,0.0883883476483184,7.61904761904762,0,0,28.5714285714286,23.8095238095238,0.952380952380952,29.5238095238095,29.5238095238095
"907SRSD1x 2010-06-15",0.0785714285714286,105,0.116614326302136,0.25,33,0,31.4285714285714,0,0,10.4761904761905,25.7142857142857,4.76190476190476,14.2857142857143,14.2857142857143
"907SRSD1x 2010-06-29",0.195238095238095,105,0.124908391339838,0.262820512820513,78,0.0555000277500208,74.2857142857143,0,0,1.9047619047619,45.7142857142857,3.80952380952381,5.71428571428571,5.71428571428571
"907SRSD1x 2010-07-13",0.214285714285714,105,0.100650357701771,0.255681818181818,88,0.0374716890693986,83.8095238095238,0,0,13.3333333333333,31.4285714285714,5.71428571428571,18.0952380952381,18.0952380952381
"911NCPCR2 2010-04-28",0.355,100,0.753091272454053,0.739583333333333,48,0.950865134257272,48,7,14.5833333333333,20.952380952381,47.5247524752475,0,21.5686274509804,29
"911NCPCR2 2010-05-24",0.111111111111111,99,0.160604018609905,0.305555555555556,36,0.105409255338946,36.3636363636364,0,0,4.85436893203883,27.6190476190476,0.970873786407767,5.94059405940594,6.06060606060606
"911NCPCR2 2010-06-14",0.274509803921569,102,1.23856642414997,0.651162790697674,43,1.85416161172429,42.156862745098,0.980392156862745,2.32558139534884,12.3809523809524,20.952380952381,3.80952380952381,16.1904761904762,17.6470588235294
"911NCPCR2 2010-06-30",0.271428571428571,105,0.199501439031963,0.375,76,0.125830573921179,72.3809523809524,0,0,0.952380952380952,32.3809523809524,5.71428571428571,6.66666666666667,6.66666666666667
"911NCPCR2 2010-07-20",0.0528846153846154,104,0.108347455083872,0.261904761904762,21,0.0545544725589981,20.1923076923077,0,0,15.9090909090909,23.8095238095238,1.13636363636364,20,20.5479452054795
"911NCPCR2 2010-08-19",0.0333333333333333,105,0.0853912563829966,0.25,14,0,13.3333333333333,0,0,18.2795698924731,29.5238095238095,0,20.2380952380952,20.7317073170732
"911NCPCR2 2010-09-14",0.886363636363636,88,1.23752922344984,1.32203389830508,59,1.30817295553368,67.0454545454545,25,37.2881355932203,40,50,2.10526315789474,42.3913043478261,74.025974025974
"911S00538 2009-05-05",1.39851485148515,101,2.93666013904865,1.83441558441558,77,3.24610353205294,76.2376237623762,23.7623762376238,31.1688311688312,43.1372549019608,28.7128712871287,0,45.360824742268,59.5744680851064
"911S01818 2009-05-06",0.510869565217391,92,2.13934654302464,0.796610169491525,59,2.63615224441929,64.1304347826087,5.43478260869565,8.47457627118644,15.8415841584158,37.5,29.7029702970297,41.4141414141414,47.3118279569892
"911S02058 2009-05-05",0.484567901234568,81,0.849030401962609,0.633064516129032,62,0.921863025829968,76.5432098765432,9.87654320987654,12.9032258064516,4,16.6666666666667,9,13.6842105263158,23.5955056179775
"911S03354 2009-05-05",0.224489795918367,98,0.440375009939642,0.423076923076923,52,0.532148948858061,53.0612244897959,2.04081632653061,3.84615384615385,2.04081632653061,38.0952380952381,2.04081632653061,4.34782608695652,6.97674418604651
"911S04086 2009-05-06",0.03125,8,0.0883883476483184,0.25,1,NA,12.5,0,0,0,80.9523809523809,0,0,0
"911TJPC2 2010-04-27",0.202020202020202,99,0.191252476563823,0.338983050847458,59,0.120726177992185,59.5959595959596,0,0,29,37.3737373737374,4.04040404040404,33.3333333333333,33.3333333333333
"911TJPC2 2010-05-24",0.0641025641025641,78,0.130159102414668,0.294117647058824,17,0.098238155999172,21.7948717948718,0,0,0.952380952380952,25.7142857142857,2.85714285714286,3.80952380952381,3.80952380952381
"911TJPC2 2010-06-14",0.640776699029126,103,3.37171588635153,2.75,24,6.66064039224327,23.3009708737864,2.9126213592233,12.5,17.1428571428571,14.2857142857143,7.61904761904762,23.8095238095238,27.1844660194175
"911TJPC2 2010-07-01",0.25952380952381,105,0.0686739922832306,0.264563106796116,103,0.0588413736498247,98.0952380952381,0,0,46.6666666666667,37.1428571428571,0,46.6666666666667,46.6666666666667
"911TJPC2 2010-07-19",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"LALT-501 2009-06-22",0.161904761904762,105,0.124908391339838,0.253731343283582,67,0.0305423610890763,63.8095238095238,0,0,61.9047619047619,0,0,61.9047619047619,61.9047619047619
"LALT500 2009-06-22",0.880952380952381,105,0.902783647956871,0.880952380952381,105,0.902783647956871,100,15.2380952380952,15.2380952380952,6.66666666666667,0,0,6.66666666666667,20.952380952381
"LALT500 2010-07-15",1.02403846153846,104,1.55580623698777,1.03398058252427,103,1.56009070865354,99.0384615384615,21.1538461538462,21.3592233009709,0,6.66666666666667,8.57142857142857,8.57142857142857,28.5714285714286
"LALT501 2010-07-15",0.188118811881188,101,0.114050101896378,0.253333333333333,75,0.0288675134594813,74.2574257425743,0,0,25.7142857142857,3.80952380952381,5.71428571428571,28.5714285714286,28.5714285714286
"LALT502 2009-06-22",0.117021276595745,47,0.179454667808711,0.34375,16,0.125,34.0425531914894,0,0,2.85714285714286,41.9047619047619,0.952380952380952,3.80952380952381,3.96039603960396
"LALT502 2010-07-15",0.319078947368421,76,0.180733156017955,0.37890625,64,0.125926624988334,84.2105263157895,0,0,0,59.0476190476191,0,0,0
"LALT503 2010-07-15",0.870192307692308,104,0.985317435193143,0.878640776699029,103,0.986343066180988,99.0384615384615,17.3076923076923,17.4757281553398,0,0,0,0,17.1428571428571
"LAR0052 2010-07-08",0,102,0,0,0,NA,0,0,0,0.980392156862745,5.71428571428571,0,1,1.04166666666667
"LAR0080 2010-07-08",0.180952380952381,105,0.238925977471314,0.487179487179487,39,0.0558639662577397,37.1428571428571,0,0,46.6666666666667,0,0,46.6666666666667,46.6666666666667
"LAR0092 2010-07-27",0,103,0,0,0,NA,0,0,0,19.4174757281553,0,0.970873786407767,20.5882352941176,21.2121212121212
"ME-CC 2010-07-12",0.0523809523809524,105,0.123526109117464,0.305555555555556,18,0.106948157986625,17.1428571428571,0,0,21.9047619047619,13.3333333333333,0,21.9047619047619,21.9047619047619
"ME-CC 2011-07-07",0.0264423076923077,104,0.0772578367436739,0.25,11,0,10.5769230769231,0,0,24.0384615384615,30.7692307692308,0,24.2718446601942,24.5098039215686
