"","W1H_BRDG.result","W1H_BRDG.count","W1H_BRDG.sd","W1H_BLDG.result","W1H_BLDG.count","W1H_BLDG.sd","W1H_LDFL.result","W1H_LDFL.count","W1H_LDFL.sd","W1H_LOG.result","W1H_LOG.count","W1H_LOG.sd","W1H_MINE.result","W1H_MINE.count","W1H_MINE.sd","W1H_ORVY.result","W1H_ORVY.count","W1H_ORVY.sd","W1H_PARK.result","W1H_PARK.count","W1H_PARK.sd","W1H_PSTR.result","W1H_PSTR.count","W1H_PSTR.sd","W1H_PVMT.result","W1H_PVMT.count","W1H_PVMT.sd","W1H_PIPE.result","W1H_PIPE.count","W1H_PIPE.sd","W1H_ROAD.result","W1H_ROAD.count","W1H_ROAD.sd","W1H_CROP.result","W1H_CROP.count","W1H_CROP.sd","W1H_VEGM.result","W1H_VEGM.count","W1H_VEGM.sd","W1H_WALL.result","W1H_WALL.count","W1H_WALL.sd","W1_HALL_EMAP.result","W1_HALL_SWAMP.result"
"102PS0139 2010-07-15",0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,0
"202PES162 2010-07-20",0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,0
"403S00640 2009-06-11",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"403S00772 2009-05-20",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"403S01163 2009-06-08",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"403S01195 2009-06-10",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.3335,11,0,0,11,0,0,11,0,0,11,0,0,0
"403S01272 2009-06-09",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.3335,11,0,0.3335,11,0,0,11,0,0,11,0,0,0
"403S01784 2009-06-09",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"403S03832 2009-06-08",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.0606363636363636,11,0.269814784957789,0,11,0,0,11,0,0,11,0,0.151590909090909,11,0.348329389567351,0,11,0,0,11,0,0,0
"403S14156 2009-06-09",0,11,0,0,11,0,0.409090909090909,11,1.23029929839709,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.113636363636364,11,0.517862740677313,0.3335,11,0,0,11,0,0,11,0,0.863636363636364,11,0.467099366496914,0.409090909090909,0.409090909090909
"404S02920 2009-05-12",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.606363636363636,11,0.269814784957789,0,11,0,0,11,0,0,11,0,0,0
"404S03048 2009-05-13",0,11,0,0.272863636363636,11,0.269814784957789,0.0681818181818182,11,0.452267016866645,0,11,0,0,11,0,0,11,0,0.212227272727273,11,0.336518161066045,0,11,0,0,11,0,0,11,0,0.0303181818181818,11,0.201108066833368,0,11,0,0,11,0,0,11,0,0.341045454545455,0.341045454545455
"404S05992 2009-05-12",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.515409090909091,11,0.458596951185203,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.0909090909090909,11,0.603022689155527,0,0
"404S06456 2009-05-14",0,11,0,0,11,0,0.0681818181818182,11,0.452267016866645,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.303181818181818,11,0.201108066833368,0,11,0,0,11,0,0,11,0,0.0681818181818182,0.0681818181818182
"404S08040 2009-05-12",0,11,0,0.394045454545455,11,0.34235083015686,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.151545454545455,11,0.433505814158347,0,11,0,0.651727272727273,11,0.433456886814909,0,11,0,0,11,0,0.894181818181818,11,0.778187544583858,0.394045454545455,0.394045454545455
"404S08616 2009-05-13",0,11,0,0.272863636363636,11,0.269814784957789,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.0303181818181818,11,0.201108066833368,0,11,0,0.212227272727273,11,0.336518161066045,0,11,0,0,11,0,0,11,0,0.272863636363636,0.272863636363636
"404S11406 2009-05-11",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"404S16516 2009-05-18",0,11,0,0.272863636363636,11,0.269814784957789,0.204545454545455,11,0.700649049745371,0,11,0,0,11,0,0,11,0,0.0606363636363636,11,0.269814784957789,0,11,0,0.462318181818182,11,0.574405305116043,0.0681818181818182,11,0.452267016866645,0,11,0,0,11,0,0,11,0,0.287954545454545,11,0.396996336140639,0.477409090909091,0.477409090909091
"404S17266 2009-05-19",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"404S17664 2009-05-20",0,11,0,0.3335,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.5,11,0,0,11,0,0.303181818181818,11,0.201108066833368,0,11,0,0,11,0,1.5,11,0,0.3335,0.3335
"404S22464 2009-05-19",0,11,0,0.3335,11,0,0.477272727272727,11,1.38662441660576,0,11,0,0,11,0,0,11,0,0.0303181818181818,11,0.201108066833368,0,11,0,0,11,0,0,11,0,0.272863636363636,11,0.269814784957789,0,11,0,0,11,0,0.901727272727273,11,0.536455844154272,0.810772727272727,0.810772727272727
"901S00313 2009-04-30",0,11,0,0,11,0,0.181818181818182,11,0.504524979109513,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.0454545454545455,11,0.301511344577764,0.363772727272727,11,0.134705132520156,0,11,0,0,11,0,0,11,0,0.181818181818182,0.181818181818182
"901S00469 2009-05-13",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"901S00531 2009-05-07",0,11,0,0.469772727272727,11,0.20100266845809,0.681818181818182,11,1.56669890360128,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.515181818181818,11,0.233588643870918,0,11,0,0.3335,11,0,0,11,0,0,11,0,1.43181818181818,11,0.452267016866645,1.15159090909091,1.15159090909091
"901S00997 2009-05-14",0.409090909090909,11,1.40129809949074,0,11,0,1.5,11,0,0,11,0,0,11,0,0,11,0,0.363636363636364,11,0.467099366496914,0,11,0,0,11,0,0.525,10,NA,0.954545454545455,11,0.917010954628728,0,11,0,0.977272727272727,11,1.31252705599819,0.954545454545455,11,1.51357493732854,1.5,1.5
"901S01705 2009-05-14",0.212136363636364,11,0.92004392187646,0.128818181818182,11,0.490880489065775,0.0681818181818182,11,0.452267016866645,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.515227272727273,11,0.674109985630886,0,11,0,0,11,0,0.0681818181818182,11,0.452267016866645,0.197,0.197
