"","PBM_S.result","PBM_V.result","PBM_E.result"
"102PS0139 2010-07-15",41.6666666666667,8.33333333333333,50
"202PES162 2010-07-20",100,0,0
"403S00640 2009-06-11",45.4545454545455,54.5454545454545,0
"403S00772 2009-05-20",13.6363636363636,86.3636363636364,0
"403S01163 2009-06-08",22.7272727272727,77.2727272727273,0
"403S01195 2009-06-10",100,0,0
"403S01272 2009-06-09",0,100,0
"403S01784 2009-06-09",0,0,100
"403S03832 2009-06-08",0,0,100
"403S14156 2009-06-09",0,100,0
"404S02920 2009-05-12",0,72.7272727272727,27.2727272727273
"404S03048 2009-05-13",0,90.9090909090909,9.09090909090909
"404S05992 2009-05-12",9.09090909090909,90.9090909090909,0
"404S06456 2009-05-14",0,68.1818181818182,31.8181818181818
"404S08040 2009-05-12",100,0,0
"404S08616 2009-05-13",13.6363636363636,86.3636363636364,0
"404S11406 2009-05-11",0,100,0
"404S16516 2009-05-18",9.09090909090909,72.7272727272727,18.1818181818182
"404S17266 2009-05-19",0,81.8181818181818,18.1818181818182
"404S17664 2009-05-20",100,0,0
"404S22464 2009-05-19",27.2727272727273,72.7272727272727,0
"901S00313 2009-04-30",100,0,0
"901S00469 2009-05-13",100,0,0
"901S00531 2009-05-07",100,0,0
"901S00997 2009-05-14",100,0,0
"901S01705 2009-05-14",100,0,0
"901S01811 2009-05-07",100,0,0
"901S06030 2009-04-30",4.54545454545455,68.1818181818182,27.2727272727273
"901SJMS1x 2008-04-23",27.2727272727273,4.54545454545455,68.1818181818182
"901SJMS1x 2008-05-13",9.09090909090909,9.09090909090909,81.8181818181818
"901SJMS1x 2008-06-02",9.09090909090909,0,90.9090909090909
"901SJMS1x 2008-06-25",0,0,100
"901SJMS1x 2008-07-03",0,0,100
"901SJOF1x 2008-04-28",80,0,20
"901SJOF1x 2008-05-16",77.2727272727273,4.54545454545455,18.1818181818182
"901SJOF1x 2008-06-05",65,10,25
"901SJOF1x 2008-06-25",66.6666666666667,9.52380952380952,23.8095238095238
"901SJOF1x 2008-07-03",100,0,0
"901TCSMP1 2010-04-05",12.5,25,62.5
"901TCSMP1 2010-05-05",0,4.54545454545455,95.4545454545455
"901TCSMP1 2010-05-25",NA,NA,NA
"902S00565 2009-04-27",86.3636363636364,13.6363636363636,0
"902S01097 2009-05-11",100,0,0
"902SMAS1x 2008-04-02",0,0,100
"902SMAS1x 2008-04-08",0,0,100
"902SMAS1x 2008-05-12",0,0,100
"902SMAS1x 2008-06-02",0,0,100
"903ACPCT1 2010-05-11",55,45,0
"903ACPCT1 2010-05-25",NA,NA,NA
"903ACPCT1 2010-06-15",NA,NA,NA
"903ACPCT1 2010-06-30",NA,NA,NA
"903ACPCT1 2010-07-13",NA,NA,NA
"903CVPCT1 2010-05-10",40,30,30
"903CVPCT1 2010-06-01",NA,NA,NA
"903CVPCT1 2010-06-15",NA,NA,NA
"903CVPCT1 2010-06-30",NA,NA,NA
"903CVPCT1 2010-07-13",NA,NA,NA
"904S00537 2009-05-04",100,0,0
"905DGCC1 2010-05-12",70,20,10
"905DGCC1 2010-06-02",NA,NA,NA
