"","StationCode","SampleDate","variable","type","value"
"10","905S01953","2009-04-29","FL_N_F","result","9.18061973978947e-05"
"11","907S01418","2009-05-12","FL_N_F","result","0.00104257480663636"
"12","907S01434","2009-05-13","FL_N_F","result","0.0003822774291"
"14","911S00538","2009-05-05","FL_N_F","result","0.00131738683259077"
"100","403S00640","2009-06-11","FL_N_F","result",NA
"101","403S00772","2009-05-20","FL_N_F","result",NA
"102","403S01163","2009-06-08","FL_N_F","result",NA
"103","403S01195","2009-06-10","FL_N_F","result",NA
"104","403S01272","2009-06-09","FL_N_F","result",NA
"105","403S01784","2009-06-09","FL_N_F","result",NA
"106","403S03832","2009-06-08","FL_N_F","result",NA
"107","403S14156","2009-06-09","FL_N_F","result",NA
"108","404S02920","2009-05-12","FL_N_F","result",NA
"109","404S03048","2009-05-13","FL_N_F","result",NA
"110","404S05992","2009-05-12","FL_N_F","result",NA
"111","404S06456","2009-05-14","FL_N_F","result",NA
"112","404S08040","2009-05-12","FL_N_F","result",NA
"113","404S08616","2009-05-13","FL_N_F","result",NA
"114","404S11406","2009-05-11","FL_N_F","result",NA
"115","404S16516","2009-05-18","FL_N_F","result",NA
"116","404S17266","2009-05-19","FL_N_F","result",NA
"117","404S17664","2009-05-20","FL_N_F","result",NA
"118","404S22464","2009-05-19","FL_N_F","result",NA
"119","901S00313","2009-04-30","FL_N_F","result",NA
"120","901S00469","2009-05-13","FL_N_F","result",NA
"121","901S00531","2009-05-07","FL_N_F","result",NA
"122","901S00997","2009-05-14","FL_N_F","result",NA
"123","901S01705","2009-05-14","FL_N_F","result",NA
"124","901S01811","2009-05-07","FL_N_F","result",NA
"125","901S06030","2009-04-30","FL_N_F","result",NA
"134","902S00565","2009-04-27","FL_N_F","result",NA
"135","902S01097","2009-05-11","FL_N_F","result",NA
"142","904S00537","2009-05-04","FL_N_F","result",NA
"160","907S00577","2009-05-12","FL_N_F","result",NA
"172","911S01818","2009-05-06","FL_N_F","result",NA
"173","911S02058","2009-05-05","FL_N_F","result",NA
"174","911S03354","2009-05-05","FL_N_F","result",NA
"175","911S04086","2009-05-06","FL_N_F","result",NA
"460","905S01953","2009-04-29","FL_N_M","result","0.00324210526315789"
"461","907S01418","2009-05-12","FL_N_M","result","0.0368181818181818"
"462","907S01434","2009-05-13","FL_N_M","result","0.0135"
"464","911S00538","2009-05-05","FL_N_M","result","0.0465230769230769"
"550","403S00640","2009-06-11","FL_N_M","result",NA
"551","403S00772","2009-05-20","FL_N_M","result",NA
"552","403S01163","2009-06-08","FL_N_M","result",NA
"553","403S01195","2009-06-10","FL_N_M","result",NA
"554","403S01272","2009-06-09","FL_N_M","result",NA
"555","403S01784","2009-06-09","FL_N_M","result",NA
"556","403S03832","2009-06-08","FL_N_M","result",NA
"557","403S14156","2009-06-09","FL_N_M","result",NA
"558","404S02920","2009-05-12","FL_N_M","result",NA
"559","404S03048","2009-05-13","FL_N_M","result",NA
"560","404S05992","2009-05-12","FL_N_M","result",NA
"561","404S06456","2009-05-14","FL_N_M","result",NA
"562","404S08040","2009-05-12","FL_N_M","result",NA
"563","404S08616","2009-05-13","FL_N_M","result",NA
"564","404S11406","2009-05-11","FL_N_M","result",NA
"565","404S16516","2009-05-18","FL_N_M","result",NA
"566","404S17266","2009-05-19","FL_N_M","result",NA
"567","404S17664","2009-05-20","FL_N_M","result",NA
"568","404S22464","2009-05-19","FL_N_M","result",NA
"569","901S00313","2009-04-30","FL_N_M","result",NA
"570","901S00469","2009-05-13","FL_N_M","result",NA
"571","901S00531","2009-05-07","FL_N_M","result",NA
"572","901S00997","2009-05-14","FL_N_M","result",NA
"573","901S01705","2009-05-14","FL_N_M","result",NA
"574","901S01811","2009-05-07","FL_N_M","result",NA
"575","901S06030","2009-04-30","FL_N_M","result",NA
"584","902S00565","2009-04-27","FL_N_M","result",NA
"585","902S01097","2009-05-11","FL_N_M","result",NA
"592","904S00537","2009-05-04","FL_N_M","result",NA
"610","907S00577","2009-05-12","FL_N_M","result",NA
"622","911S01818","2009-05-06","FL_N_M","result",NA
"623","911S02058","2009-05-05","FL_N_M","result",NA
"624","911S03354","2009-05-05","FL_N_M","result",NA
"625","911S04086","2009-05-06","FL_N_M","result",NA
"910","905S01953","2009-04-29","FL_Q_F","result",NA
"911","907S01418","2009-05-12","FL_Q_F","result",NA
"912","907S01434","2009-05-13","FL_Q_F","result",NA
"914","911S00538","2009-05-05","FL_Q_F","result",NA
"1000","403S00640","2009-06-11","FL_Q_F","result","1.200606566016"
"1001","403S00772","2009-05-20","FL_Q_F","result","4.06014700288"
"1002","403S01163","2009-06-08","FL_Q_F","result","31.2261040704"
"1003","403S01195","2009-06-10","FL_Q_F","result","1.39285000576"
"1004","403S01272","2009-06-09","FL_Q_F","result","4.7509532445312"
"1005","403S01784","2009-06-09","FL_Q_F","result","29.6983176838656"
"1006","403S03832","2009-06-08","FL_Q_F","result","1.06481983632"
"1007","403S14156","2009-06-09","FL_Q_F","result","3.60339553453056"
"1008","404S02920","2009-05-12","FL_Q_F","result","0.1323530422784"
"1009","404S03048","2009-05-13","FL_Q_F","result","0"
"1010","404S05992","2009-05-12","FL_Q_F","result","1.094474409472"
"1011","404S06456","2009-05-14","FL_Q_F","result","1.1924690497536"
"1012","404S08040","2009-05-12","FL_Q_F","result","0.513869082496"
"1013","404S08616","2009-05-13","FL_Q_F","result","1.239356643456"
"1014","404S11406","2009-05-11","FL_Q_F","result","2.4138714906624"
"1015","404S16516","2009-05-18","FL_Q_F","result","4.506203449856"
"1016","404S17266","2009-05-19","FL_Q_F","result","4.16778610688"
"1017","404S17664","2009-05-20","FL_Q_F","result",NA
"1018","404S22464","2009-05-19","FL_Q_F","result","3.10484995488"
"1019","901S00313","2009-04-30","FL_Q_F","result",NA
"1020","901S00469","2009-05-13","FL_Q_F","result",NA
"1021","901S00531","2009-05-07","FL_Q_F","result","0.159628791232"
"1022","901S00997","2009-05-14","FL_Q_F","result",NA
"1023","901S01705","2009-05-14","FL_Q_F","result","0.076208485632"
"1024","901S01811","2009-05-07","FL_Q_F","result","2.604220482176"
"1025","901S06030","2009-04-30","FL_Q_F","result",NA
"1034","902S00565","2009-04-27","FL_Q_F","result","10.07986389408"
"1035","902S01097","2009-05-11","FL_Q_F","result","0.44724047712"
"1042","904S00537","2009-05-04","FL_Q_F","result","5.028145465152"
"1060","907S00577","2009-05-12","FL_Q_F","result","0.059309146304"
"1072","911S01818","2009-05-06","FL_Q_F","result","0.17006978432"
"1073","911S02058","2009-05-05","FL_Q_F","result","0.72548756096"
"1074","911S03354","2009-05-05","FL_Q_F","result","0.758963322304"
"1075","911S04086","2009-05-06","FL_Q_F","result",NA
"1360","905S01953","2009-04-29","FL_Q_M","result",NA
"1361","907S01418","2009-05-12","FL_Q_M","result",NA
"1362","907S01434","2009-05-13","FL_Q_M","result",NA
"1364","911S00538","2009-05-05","FL_Q_M","result",NA
"1450","403S00640","2009-06-11","FL_Q_M","result","0.0339973919568278"
"1451","403S00772","2009-05-20","FL_Q_M","result","0.114970559854003"
"1452","403S01163","2009-06-08","FL_Q_M","result","0.884224798877152"
"1453","403S01195","2009-06-10","FL_Q_M","result","0.039441119949915"
"1454","403S01272","2009-06-09","FL_Q_M","result","0.134532014229162"
"1455","403S01784","2009-06-09","FL_Q_M","result","0.84096270613209"
"1456","403S03832","2009-06-08","FL_Q_M","result","0.0301523399617106"
"1457","403S14156","2009-06-09","FL_Q_M","result","0.102036798590427"
"1458","404S02920","2009-05-12","FL_Q_M","result","0.00374782079524077"
"1459","404S03048","2009-05-13","FL_Q_M","result","0"
"1460","404S05992","2009-05-12","FL_Q_M","result","0.0309920639606442"
"1461","404S06456","2009-05-14","FL_Q_M","result","0.0337669631571205"
"1462","404S08040","2009-05-12","FL_Q_M","result","0.014551151981522"
"1463","404S08616","2009-05-13","FL_Q_M","result","0.0350946719554344"
"1464","404S11406","2009-05-11","FL_Q_M","result","0.0683532287132005"
"1465","404S16516","2009-05-18","FL_Q_M","result","0.127601471837963"
"1466","404S17266","2009-05-19","FL_Q_M","result","0.118018559850132"
"1467","404S17664","2009-05-20","FL_Q_M","result",NA
"1468","404S22464","2009-05-19","FL_Q_M","result","0.0879195598883539"
"1469","901S00313","2009-04-30","FL_Q_M","result",NA
"1470","901S00469","2009-05-13","FL_Q_M","result",NA
"1471","901S00531","2009-05-07","FL_Q_M","result","0.00452018399425997"
"1472","901S00997","2009-05-14","FL_Q_M","result",NA
"1473","901S01705","2009-05-14","FL_Q_M","result","0.00215798399725965"
"1474","901S01811","2009-05-07","FL_Q_M","result","0.0737433119063558"
"1475","901S06030","2009-04-30","FL_Q_M","result",NA
"1484","902S00565","2009-04-27","FL_Q_M","result","0.285429959637542"
"1485","902S01097","2009-05-11","FL_Q_M","result","0.0126644399839178"
"1492","904S00537","2009-05-04","FL_Q_M","result","0.142381223819195"
"1510","907S00577","2009-05-12","FL_Q_M","result","0.00167944799786732"
"1522","911S01818","2009-05-06","FL_Q_M","result","0.00481583999388453"
"1523","911S02058","2009-05-05","FL_Q_M","result","0.0205435199739125"
"1524","911S03354","2009-05-05","FL_Q_M","result","0.0214914479727087"
"1525","911S04086","2009-05-06","FL_Q_M","result",NA
"1810","905S01953","2009-04-29","FL_F","result","9.18061973978947e-05"
"1811","907S01418","2009-05-12","FL_F","result","0.00104257480663636"
"1812","907S01434","2009-05-13","FL_F","result","0.0003822774291"
"1814","911S00538","2009-05-05","FL_F","result","0.00131738683259077"
"1900","403S00640","2009-06-11","FL_F","result","1.200606566016"
"1901","403S00772","2009-05-20","FL_F","result","4.06014700288"
"1902","403S01163","2009-06-08","FL_F","result","31.2261040704"
"1903","403S01195","2009-06-10","FL_F","result","1.39285000576"
"1904","403S01272","2009-06-09","FL_F","result","4.7509532445312"
"1905","403S01784","2009-06-09","FL_F","result","29.6983176838656"
"1906","403S03832","2009-06-08","FL_F","result","1.06481983632"
"1907","403S14156","2009-06-09","FL_F","result","3.60339553453056"
"1908","404S02920","2009-05-12","FL_F","result","0.1323530422784"
"1909","404S03048","2009-05-13","FL_F","result","0"
"1910","404S05992","2009-05-12","FL_F","result","1.094474409472"
"1911","404S06456","2009-05-14","FL_F","result","1.1924690497536"
"1912","404S08040","2009-05-12","FL_F","result","0.513869082496"
"1913","404S08616","2009-05-13","FL_F","result","1.239356643456"
"1914","404S11406","2009-05-11","FL_F","result","2.4138714906624"
"1915","404S16516","2009-05-18","FL_F","result","4.506203449856"
"1916","404S17266","2009-05-19","FL_F","result","4.16778610688"
"1917","404S17664","2009-05-20","FL_F","result",NA
"1918","404S22464","2009-05-19","FL_F","result","3.10484995488"
"1919","901S00313","2009-04-30","FL_F","result",NA
"1920","901S00469","2009-05-13","FL_F","result",NA
"1921","901S00531","2009-05-07","FL_F","result","0.159628791232"
"1922","901S00997","2009-05-14","FL_F","result",NA
"1923","901S01705","2009-05-14","FL_F","result","0.076208485632"
"1924","901S01811","2009-05-07","FL_F","result","2.604220482176"
"1925","901S06030","2009-04-30","FL_F","result",NA
"1934","902S00565","2009-04-27","FL_F","result","10.07986389408"
"1935","902S01097","2009-05-11","FL_F","result","0.44724047712"
"1942","904S00537","2009-05-04","FL_F","result","5.028145465152"
"1960","907S00577","2009-05-12","FL_F","result","0.059309146304"
"1972","911S01818","2009-05-06","FL_F","result","0.17006978432"
"1973","911S02058","2009-05-05","FL_F","result","0.72548756096"
"1974","911S03354","2009-05-05","FL_F","result","0.758963322304"
"1975","911S04086","2009-05-06","FL_F","result",NA
"2260","905S01953","2009-04-29","FL_M","result","0.00324210526315789"
"2261","907S01418","2009-05-12","FL_M","result","0.0368181818181818"
"2262","907S01434","2009-05-13","FL_M","result","0.0135"
"2264","911S00538","2009-05-05","FL_M","result","0.0465230769230769"
"2350","403S00640","2009-06-11","FL_M","result","0.0339973919568278"
"2351","403S00772","2009-05-20","FL_M","result","0.114970559854003"
"2352","403S01163","2009-06-08","FL_M","result","0.884224798877152"
"2353","403S01195","2009-06-10","FL_M","result","0.039441119949915"
"2354","403S01272","2009-06-09","FL_M","result","0.134532014229162"
"2355","403S01784","2009-06-09","FL_M","result","0.84096270613209"
"2356","403S03832","2009-06-08","FL_M","result","0.0301523399617106"
"2357","403S14156","2009-06-09","FL_M","result","0.102036798590427"
"2358","404S02920","2009-05-12","FL_M","result","0.00374782079524077"
"2359","404S03048","2009-05-13","FL_M","result","0"
"2360","404S05992","2009-05-12","FL_M","result","0.0309920639606442"
"2361","404S06456","2009-05-14","FL_M","result","0.0337669631571205"
"2362","404S08040","2009-05-12","FL_M","result","0.014551151981522"
"2363","404S08616","2009-05-13","FL_M","result","0.0350946719554344"
"2364","404S11406","2009-05-11","FL_M","result","0.0683532287132005"
"2365","404S16516","2009-05-18","FL_M","result","0.127601471837963"
"2366","404S17266","2009-05-19","FL_M","result","0.118018559850132"
"2367","404S17664","2009-05-20","FL_M","result",NA
"2368","404S22464","2009-05-19","FL_M","result","0.0879195598883539"
"2369","901S00313","2009-04-30","FL_M","result",NA
"2370","901S00469","2009-05-13","FL_M","result",NA
