"","PCT_CF.result","PCT_CF.count","PCT_CF.sd","PCT_DR.result","PCT_DR.count","PCT_DR.sd","PCT_GL.result","PCT_GL.count","PCT_GL.sd","PCT_POOL.result","PCT_POOL.count","PCT_POOL.sd","PCT_RA.result","PCT_RA.count","PCT_RA.sd","PCT_RI.result","PCT_RI.count","PCT_RI.sd","PCT_RN.result","PCT_RN.count","PCT_RN.sd","PCT_FAST.result","PCT_SLOW.result","PCT_CF_WT.result","PCT_CF_WT.count","PCT_GL_WT.result","PCT_GL_WT.count","PCT_POOL_WT.result","PCT_POOL_WT.count","PCT_RA_WT.result","PCT_RA_WT.count","PCT_RI_WT.result","PCT_RI_WT.count","PCT_RN_WT.result","PCT_RN_WT.count","PCT_FAST_WT.result","PCT_SLOW_WT.result"
"102PS0139 2010-07-15",0,5,0,80,5,44.7213595499958,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,0
"403S00640 2009-06-11",0,10,0,0,10,0,81.5,10,7.47217059048663,0,10,0,0,10,0,18.5,10,7.47217059048663,0,10,0,18.5,81.5,0,10,81.5,10,0,10,0,10,18.5,10,0,10,18.5,81.5
"403S00772 2009-05-20",2,10,4.21637021355784,0,10,0,57,10,34.0098025084926,0,10,0,0,10,0,39,10,30.3498123735734,2,10,4.21637021355784,43,57,2,10,57,10,0,10,0,10,39,10,2,10,43,57
"403S01163 2009-06-08",2,10,4.21637021355784,0,10,0,57,10,22.6323269290239,12,10,12.2927259430572,0,10,0,27,10,12.5166555703457,2,10,4.21637021355784,31,69,2,10,57,10,12,10,0,10,27,10,2,10,31,69
"403S01195 2009-06-10",0,10,0,0,10,0,78,10,25.298221281347,1,10,3.16227766016838,0,10,0,21,10,24.6981780704569,0,10,0,21,79,0,10,78,10,1,10,0,10,21,10,0,10,21,79
"403S01272 2009-06-09",0,10,0,0,10,0,94,10,8.09663853432741,0,10,0,0,10,0,6,10,8.09663853432741,0,10,0,6,94,0,10,94,10,0,10,0,10,6,10,0,10,6,94
"403S01784 2009-06-09",0,10,0,0,10,0,89,10,11.0050493461461,0,10,0,0,10,0,11,10,11.0050493461461,0,10,0,11,89,0,10,89,10,0,10,0,10,11,10,0,10,11,89
"403S03832 2009-06-08",0,10,0,0,10,0,89.5,10,10.1242283656583,0,10,0,0,10,0,10.5,10,10.1242283656583,0,10,0,10.5,89.5,0,10,89.5,10,0,10,0,10,10.5,10,0,10,10.5,89.5
"403S14156 2009-06-09",0,10,0,0,10,0,93,10,4.83045891539648,0,10,0,0,10,0,7,10,4.83045891539648,0,10,0,7,93,0,10,93,10,0,10,0,10,7,10,0,10,7,93
"404S02920 2009-05-12",0,10,0,0,10,0,42,10,24.8551358430763,46.5,10,24.2727556463346,0,10,0,6,10,7.37864787372622,5.5,10,13.0064086767511,11.5,88.5,0,10,42,10,46.5,10,0,10,6,10,5.5,10,11.5,88.5
