"","FL_N_F.result","FL_N_M.result","FL_Q_F.result","FL_Q_M.result","FL_F.result","FL_M.result","MWVM_F.result","MWVM_M.result","XWV_F.result","XWV_M.result","PWVZ.result"
"903ACPCT1 2010-06-15",0.00142679702248029,0.0503868613138686,NA,NA,0.00142679702248029,0.0503868613138686,0.555555555555556,0.169333333075947,0.547445255474453,0.166861313614984,0
"903ACPCT1 2010-06-30",0.000288195841973904,0.0101775401069519,NA,NA,0.000288195841973904,0.0101775401069519,0.402684563758389,0.122738254846995,0.320855614973262,0.0977967912951991,0
"903ACPCT1 2010-07-13",1.19591961275127e-05,0.000422335025380711,NA,NA,1.19591961275127e-05,0.000422335025380711,0.220994475138122,0.0673591159197136,0.203045685279188,0.0618883247790262,0
"903CVPCT1 2010-06-15",0.000250673724,0.00885245901639344,NA,NA,0.000250673724,0.00885245901639344,0.245901639344262,0.0749508195582059,0.245901639344262,0.0749508195582059,0
"903CVPCT1 2010-06-30",0.000139952414721356,0.00494237288135593,NA,NA,0.000139952414721356,0.00494237288135593,0.185185185185185,0.0564444443586489,0.169491525423729,0.0516610168706278,0
"905DGCC1 2010-06-16",8.71404774993948e-05,0.0030773369199731,NA,NA,8.71404774993948e-05,0.0030773369199731,0.28169014084507,0.0858591547990716,0.268997982515131,0.0819905849459863,0
"905DGCC1 2010-06-29",6.05086301031579e-05,0.00213684210526316,NA,NA,6.05086301031579e-05,0.00213684210526316,0.263157894736842,0.0802105261938695,0.263157894736842,0.0802105261938695,0
"905DGUT1 2010-06-16",8.72349240635294e-05,0.00308067226890756,NA,NA,8.72349240635294e-05,0.00308067226890756,0.348837209302326,0.106325581233734,0.252100840336134,0.0768403360176565,0
"905DGUT1 2010-06-29",1.66920358905263e-05,0.000589473684210526,NA,NA,1.66920358905263e-05,0.000589473684210526,0.526315789473684,0.160421052387739,0.526315789473684,0.160421052387739,0
"905S01953 2009-04-29",9.18061973978947e-05,0.00324210526315789,NA,NA,9.18061973978947e-05,0.00324210526315789,0.266666666666667,0.0812799998764544,0.210526315789474,0.0641684209550956,0
"907S01418 2009-05-12",0.00104257480663636,0.0368181818181818,NA,NA,0.00104257480663636,0.0368181818181818,0.245454545454545,0.0748145453408273,0.245454545454545,0.0748145453408273,0
"907S01434 2009-05-13",0.0003822774291,0.0135,NA,NA,0.0003822774291,0.0135,0.130434782608696,0.0397565216787005,0.115384615384615,0.0351692307157735,0
"907SRSD1x 2010-06-29",2.77012629782609e-05,0.000978260869565218,NA,NA,2.77012629782609e-05,0.000978260869565218,0.256410256410256,0.0781538460350523,0.217391304347826,0.0662608694645009,0
"911S00538 2009-05-05",0.00131738683259077,0.0465230769230769,NA,NA,0.00131738683259077,0.0465230769230769,0.230769230769231,0.0703384614315471,0.230769230769231,0.0703384614315471,0
"911TJPC2 2010-06-14",0.103170195046579,3.64342105263158,NA,NA,0.103170195046579,3.64342105263158,0.493421052631579,0.150394736613505,0.493421052631579,0.150394736613505,0
"LALT500 2010-07-15",1.48797577081263e-05,0.000525473684210526,NA,NA,1.48797577081263e-05,0.000525473684210526,0.222222222222222,0.0677333332303787,0.210526315789474,0.0641684209550956,0
"LAR0080 2010-07-08",0.000142665028671756,0.0050381679389313,NA,NA,0.000142665028671756,0.0050381679389313,0.318471337579618,0.097070063546721,0.305343511450382,0.0930687021486119,0
"ME-SCR 2011-07-13",0.071952643,2.54098360655738,NA,NA,0.071952643,2.54098360655738,0.585480093676815,0.178454332281443,0.585480093676815,0.178454332281443,0
"REF-TCAS 2009-04-30",0.00263818620823333,0.0931666666666667,NA,NA,0.00263818620823333,0.0931666666666667,0.294117647058824,0.0896470586872659,0.277777777777778,0.0846666665379733,0
"SMC00382 2009-06-23",8.45279002985075e-05,0.00298507462686567,NA,NA,8.45279002985075e-05,0.00298507462686567,0.154798761609907,0.047182662466982,0.149253731343284,0.0454925372442842,0
"SMC00473 2009-06-03",0.000415313750133333,0.0146666666666667,NA,NA,0.000415313750133333,0.0146666666666667,0.166666666666667,0.050799999922784,0.166666666666667,0.050799999922784,0
"SMC00476 2009-06-08",NA,NA,NA,NA,NA,NA,0.14,0.0426719999351386,0.116666666666667,0.0355599999459488,0
"SMC00479 2011-07-13",0.000414392877073171,0.0146341463414634,NA,NA,0.000414392877073171,0.0146341463414634,0.326086956521739,0.0993913041967513,0.304878048780488,0.0929268291270439,0
"SMC00531 2009-05-18",0.0004126169076,0.0145714285714286,NA,NA,0.0004126169076,0.0145714285714286,0.535714285714286,0.16328571403752,0.535714285714286,0.16328571403752,0
"SMC00608 2011-06-27",0.00105279170919455,0.0371789883268483,NA,NA,0.00105279170919455,0.0371789883268483,0.583657587548638,0.177898832414419,0.583657587548638,0.177898832414419,0
"SMC00670 2009-05-21",0.0005784727234,0.0204285714285714,NA,NA,0.0005784727234,0.0204285714285714,0.535714285714286,0.16328571403752,0.357142857142857,0.10885714269168,0
"SMC00748 2011-06-21",0.000266135776315789,0.0093984962406015,NA,NA,0.000266135776315789,0.0093984962406015,0.31328320802005,0.0954887216593684,0.31328320802005,0.0954887216593684,0
"SMC00756 2009-06-23",4.90099268076923e-05,0.00173076923076923,NA,NA,4.90099268076923e-05,0.00173076923076923,0.227272727272727,0.0692727271674327,0.192307692307692,0.0586153845262892,0
"SMC00830 2011-06-21",3.26563114036364e-05,0.00115324675324675,NA,NA,3.26563114036364e-05,0.00115324675324675,0.093482905982906,0.0284935897002795,0.051948051948052,0.0158337662096989,0
"SMC00910 2009-04-30",0.0037863669168,0.133714285714286,NA,NA,0.0037863669168,0.133714285714286,0.714285714285714,0.21771428538336,0.714285714285714,0.21771428538336,0
"SMC00957 2010-06-21",0.000748287733557447,0.0264255319148936,NA,NA,0.000748287733557447,0.0264255319148936,0.319148936170213,0.0972765955968204,0.319148936170213,0.0972765955968204,0
"SMC01158 2009-05-20",3.398021592e-05,0.0012,NA,NA,3.398021592e-05,0.0012,0.4,0.121919999814682,0.4,0.121919999814682,0
"SMC01174 2011-07-20",2.51705303111111e-05,0.000888888888888889,NA,NA,2.51705303111111e-05,0.000888888888888889,0.111111111111111,0.0338666666151893,0.111111111111111,0.0338666666151893,0
"SMC01248 2011-07-26",4.63459036500423e-05,0.00163669014084507,NA,NA,4.63459036500423e-05,0.00163669014084507,0.276073619631902,0.0841472391358999,0.211267605633803,0.0643943660993037,0
"SMC01257 2011-06-16",0.00073445141738852,0.0259369070208729,NA,NA,0.00073445141738852,0.0259369070208729,0.191570881226054,0.0583908045089471,0.177893738140417,0.0542220113027818,0
"SMC01358 2011-06-21",0.000190985925809353,0.00674460431654676,NA,NA,0.000190985925809353,0.00674460431654676,0.154926668043793,0.0472216483479711,0.141991669822037,0.0432790608959727,0
"SMC01383 2010-06-01",0.000458436575827674,0.0161895348837209,NA,NA,0.000458436575827674,0.0161895348837209,0.545454545454545,0.166254545201839,0.436046511627907,0.132906976542167,0
"SMC01452 2010-07-15",0.000344604796178414,0.0121696035242291,NA,NA,0.000344604796178414,0.0121696035242291,0.578257517347725,0.176252891019682,0.550660792951542,0.167841409436511,0
"SMC01512 2010-06-23",0.00022329856176,0.00788571428571429,NA,NA,0.00022329856176,0.00788571428571429,0.428571428571429,0.130628571230016,0.428571428571429,0.130628571230016,0
"SMC01640 2009-06-29",6.53465690769231e-05,0.00230769230769231,NA,NA,6.53465690769231e-05,0.00230769230769231,0.384615384615385,0.117230769052578,0.384615384615385,0.117230769052578,0
"SMC01684 2009-06-03",0.000125111251546392,0.00441826215022091,NA,NA,0.000125111251546392,0.00441826215022091,0.334224598930481,0.101871657599166,0.245459008345606,0.0748159056300206,0
"SMC01694 2010-06-28",0.0031748464450678,0.112118644067797,NA,NA,0.0031748464450678,0.112118644067797,1.27118644067797,0.387457626529708,1.27118644067797,0.387457626529708,0
"SMC01716 2010-06-08",0.000832650132166667,0.0294047619047619,NA,NA,0.000832650132166667,0.0294047619047619,0.882352941176471,0.268941176061798,0.850340136054422,0.259183673075429,0
"SMC01726 2010-06-30",0.000805982351043643,0.0284629981024668,NA,NA,0.000805982351043643,0.0284629981024668,0.566037735849057,0.172528301624549,0.47438330170778,0.144592030140751,0
"SMC01972 2010-06-07",0.00053617697704142,0.0189349112426035,NA,NA,0.00053617697704142,0.0189349112426035,0.493096646942801,0.150295857759716,0.493096646942801,0.150295857759716,0
"SMC02059 2010-06-03",0.000389024403380144,0.0137382671480144,NA,NA,0.000389024403380144,0.0137382671480144,0.113636363636364,0.0346363635837164,0.108303249097473,0.0330108302747333,0
"SMC02206 2011-07-19",0.000525819257604502,0.0185691318327974,NA,NA,0.000525819257604502,0.0185691318327974,0.226860254083485,0.0691470053395426,0.20096463022508,0.0612540191994984,0
"SMC02270 2010-06-30",0.000394122997379691,0.0139183222958057,NA,NA,0.000394122997379691,0.0139183222958057,0.551876379690949,0.168211920274119,0.551876379690949,0.168211920274119,0
"SMC02452 2011-06-30",0.0120360031089184,0.425047438330171,NA,NA,0.0120360031089184,0.425047438330171,0.564759036144578,0.172138553955217,0.47438330170778,0.144592030140751,0
"SMC02536 2011-06-29",0.00103465401038462,0.0365384615384615,NA,NA,0.00103465401038462,0.0365384615384615,0.457875457875458,0.139560439348308,0.457875457875458,0.139560439348308,0
"SMC02563 2010-06-24",0.000337815012070175,0.0119298245614035,NA,NA,0.000337815012070175,0.0119298245614035,0.37037037037037,0.112888888717298,0.350877192982456,0.106947368258493,0
"SMC02573 2010-06-09",0.00226319844173055,0.0799240986717268,NA,NA,0.00226319844173055,0.0799240986717268,0.813008130081301,0.247804877672117,0.759013282732448,0.231347248225202,0
"SMC02656 2009-06-23",0.00239120037955556,0.0844444444444444,NA,NA,0.00239120037955556,0.0844444444444444,0.888888888888889,0.270933332921515,0.888888888888889,0.270933332921515,0
"SMC02749 2011-06-27",0.000231788648840382,0.00818553888130969,NA,NA,0.000231788648840382,0.00818553888130969,0.428571428571429,0.130628571230016,0.409276944065484,0.124747612361543,0
"SMC02947 2011-07-12",0.00985695945933333,0.348095238095238,NA,NA,0.00985695945933333,0.348095238095238,0.142857142857143,0.043542857076672,0.0952380952380952,0.029028571384448,0
"SMC03133 2010-06-02",0.00264994967435821,0.0935820895522388,NA,NA,0.00264994967435821,0.0935820895522388,1.2,0.365759999444045,1.11940298507463,0.341194029332131,0
"SMC03234 2011-06-28",0.000106370733216619,0.00375644699140401,NA,NA,0.000106370733216619,0.00375644699140401,0.22140221402214,0.0674833947313736,0.214899713467049,0.0655014325651943,0
"SMC03304 2011-06-29",0.00134407624520637,0.0474656046343229,NA,NA,0.00134407624520637,0.0474656046343229,0.54308472121651,0.165532222775183,0.54308472121651,0.165532222775183,0
"SMC03533 2010-06-01",0.0019113871455,0.0675,NA,NA,0.0019113871455,0.0675,1,0.304799999536704,0.75,0.228599999652528,0
