"","XFC_AQM.result","XFC_AQM.count","XFC_AQM.sd","XFC_HUM.result","XFC_HUM.count","XFC_HUM.sd","XFC_RCK.result","XFC_RCK.count","XFC_RCK.sd","XFC_ALG.result","XFC_ALG.count","XFC_ALG.sd","XFC_LWD.result","XFC_LWD.count","XFC_LWD.sd","XFC_LTR.result","XFC_LTR.count","XFC_LTR.sd","XFC_OHV.result","XFC_OHV.count","XFC_OHV.sd","XFC_BRS.result","XFC_BRS.count","XFC_BRS.sd","XFC_UCB.result","XFC_UCB.count","XFC_UCB.sd","XFC_BIG.result","XFC_NAT_EMAP.result","XFC_NAT_SWAMP.result","CFC_AQM.result","CFC_HUM.result","CFC_RCK.result","CFC_ALG.result","CFC_LWD.result","CFC_LTR.result","CFC_OHV.result","CFC_BRS.result","CFC_UCB.result","CFC_ALL_EMAP.result","CFC_ALL_SWAMP.result"
"102PS0139 2010-07-15",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"202PES162 2010-07-20",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"403S00640 2009-06-11",4.09090909090909,11,2.02259958738973,0,11,0,39.7727272727273,11,16.9725714556805,0,11,0,0,11,0,2.72727272727273,11,2.61116483933547,5,11,0,0,11,0,5,11,7.07106781186548,44.7727272727273,49.7727272727273,56.5909090909091,9,0,11,0,0,6,11,0,7,4,5
"403S00772 2009-05-20",4.54545454545455,11,1.50755672288882,0,11,0,42.0454545454545,11,22.3555972246936,19.7727272727273,11,16.7501696056542,0,11,0,0,11,0,5,11,0,0.909090909090909,11,2.02259958738973,0,11,0,42.0454545454545,47.9545454545455,52.5,10,0,11,9,0,0,11,2,0,5,5
"403S01163 2009-06-08",15.9090909090909,11,10.4446593573419,0,11,0,39.0909090909091,11,22.2562555047094,22.5,11,14.790199457749,1.36363636363636,11,2.33549683248457,6.36363636363636,11,6.36038878171338,8.63636363636364,11,8.0903983495589,2.27272727272727,11,2.61116483933547,6.81818181818182,11,6.03022689155527,47.2727272727273,58.1818181818182,80.4545454545455,11,0,11,11,3,10,11,5,11,7,8
"403S01195 2009-06-10",29.0909090909091,11,15.2591254366333,0,11,0,45.6818181818182,11,16.3970618210592,5.90909090909091,11,6.64009857539096,1.81818181818182,11,2.52262489554756,4.54545454545455,11,1.50755672288882,12.2727272727273,11,10.0904995821903,4.09090909090909,11,2.02259958738973,4.09090909090909,11,2.02259958738973,51.5909090909091,67.9545454545455,101.590909090909,11,0,11,9,4,10,11,9,9,7,8
"403S01272 2009-06-09",33.8636363636364,11,15.1807294111497,0,11,0,0,11,0,36.8181818181818,11,16.3970618210592,0.454545454545455,11,1.50755672288882,4.09090909090909,11,2.02259958738973,15.9090909090909,11,10.4446593573419,1.36363636363636,11,2.33549683248457,5,11,0,5.45454545454545,22.7272727272727,60.6818181818182,11,0,0,11,1,9,11,3,11,6,7
"403S01784 2009-06-09",21.3636363636364,11,8.0903983495589,0,11,0,0,11,0,27.9545454545455,11,9.79911869877732,0.454545454545455,11,1.50755672288882,4.09090909090909,11,2.02259958738973,5,11,0,1.36363636363636,11,2.33549683248457,3.18181818181818,11,2.52262489554756,3.63636363636364,10,35.4545454545455,11,0,0,11,1,9,11,3,7,6,7
"403S03832 2009-06-08",5,11,0,0,11,0,7.72727272727273,11,8.76459821202215,5,11,0,1.36363636363636,11,2.33549683248457,0.909090909090909,11,2.02259958738973,4.54545454545455,11,1.50755672288882,0.909090909090909,11,2.02259958738973,1.81818181818182,11,2.52262489554756,10.9090909090909,16.3636363636364,22.2727272727273,11,0,9,11,3,2,10,2,4,7,8
"403S14156 2009-06-09",26.1363636363636,11,12.0085197028837,0,11,0,0.454545454545455,11,1.50755672288882,36.8181818181818,11,16.3970618210592,0,11,0,5.90909090909091,11,6.64009857539096,10.4545454545455,11,9.34198732993828,0.454545454545455,11,1.50755672288882,5,11,0,5.45454545454545,16.3636363636364,48.4090909090909,11,0,1,11,0,9,11,1,11,6,7
"404S02920 2009-05-12",35,11,18.7749833555186,0,11,0,0,11,0,0,11,0,6.36363636363636,11,6.36038878171338,17.2727272727273,11,10.8082460102545,57.7272727272727,11,29.1001405807288,32.0454545454545,11,17.3859922717321,0.909090909090909,11,2.02259958738973,7.27272727272727,97.0454545454545,149.318181818182,11,0,0,0,10,10,11,11,2,5,6
