"","NFC_DLU.result","NFC_EFR.result","NFC_ERN.result","RBP_CHN.result","RBP_EPI.result","RBP_SED.result"
"102PS0139 2010-07-15","Forest","NO","NO",NA,NA,NA
"403S00640 2009-06-11","Other","NO","NO","18","13","10"
"403S00772 2009-05-20","Other","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"403S01163 2009-06-08","Forest","NO","NO","20","19","15"
"403S01195 2009-06-10","Forest","NO","NO","20","19","15"
"403S01272 2009-06-09","Agriculture","NO","NO",NA,NA,NA
"403S01784 2009-06-09","Agriculture","NO","NO",NA,NA,NA
"403S03832 2009-06-08","Other","NO","NO","16","10","9"
"403S14156 2009-06-09","Suburban, Town","NO","NO",NA,NA,NA
"404S02920 2009-05-12","Suburban, Town","NO","NO","10","13","10"
"404S03048 2009-05-13","Suburban, Town","NO","NO",NA,NA,NA
"404S05992 2009-05-12","Suburban, Town","NO","NO",NA,NA,NA
"404S06456 2009-05-14","Other","NO","NO","18","15","14"
"404S08040 2009-05-12","Urban/Industrial","NO","NO",NA,NA,NA
"404S08616 2009-05-13","Urban/Industrial","NO","NO",NA,NA,NA
"404S11406 2009-05-11","Other","< 5 year","NO","19","15","15"
"404S16516 2009-05-18","Suburban, Town","NO","NO","19","17","18"
"404S17266 2009-05-19","Other","NO","NO","19","16","13"
"404S17664 2009-05-20","Urban/Industrial","NO","NO","3","11","10"
"404S22464 2009-05-19","Suburban, Town","NO","NO","13","12","12"
"901S00313 2009-04-30","Forest","NO","NO","18","18","15"
"901S00469 2009-05-13","Forest","NO","NO","20","18","18"
"901S00531 2009-05-07","Urban/Industrial","NO","NO","0","0","20"
"901S00997 2009-05-14","Suburban, Town","NO","NO","0","6","10"
"901S01705 2009-05-14","Forest","NO","NO","13","13","15"
"901S01811 2009-05-07","Suburban, Town","NO","NO","5","7","3"
"901S06030 2009-04-30","Suburban, Town","NO","NO","14","4","8"
"901SJMS1x 2008-05-13","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"901SJMS1x 2008-06-02","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"901SJMS1x 2008-06-25","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"901SJMS1x 2008-07-03","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"901SJOF1x 2008-05-16","Forest","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"901SJOF1x 2008-06-25","Forest","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"901SJOF1x 2008-07-03","Forest","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"901TCSMP1 2010-05-25",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"902S00565 2009-04-27","Forest","NO","NO","18","10","7"
"902S01097 2009-05-11","Agriculture","NO","NO","16","8","5"
"902SMAS1x 2008-04-02","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"902SMAS1x 2008-05-12","Forest","NO","minimal","Not Recorded","Not Recorded","Not Recorded"
"902SMAS1x 2008-06-02","Forest","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"903ACPCT1 2010-05-25",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"903ACPCT1 2010-06-15",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"903ACPCT1 2010-06-30",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"903ACPCT1 2010-07-13",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"903CVPCT1 2010-06-01",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"903CVPCT1 2010-06-15",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"903CVPCT1 2010-06-30",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"903CVPCT1 2010-07-13",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"904S00537 2009-05-04","Suburban, Town","NO","NO","13","16","10"
"905DGCC1 2010-06-02",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGCC1 2010-06-16",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGCC1 2010-06-29",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGCC1 2010-07-13",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2008-04-24","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2008-05-14","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2008-06-03","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2008-06-24","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2008-07-02","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2008-07-09","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2008-07-16","Range","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2010-06-01",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2010-06-14",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2010-06-29",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2010-07-20",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2010-08-19",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGSY1x 2010-09-15","Range","NO","NO","Not Recorded",NA,"Not Recorded"
"905DGUT1 2010-06-02",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGUT1 2010-06-16",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGUT1 2010-06-29",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905DGUT1 2010-07-13",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"905S01953 2009-04-29","Forest","< 5 year","NO","20","16","15"
"907S00577 2009-05-12","Forest","NO","NO","20","15","13"
"907S01418 2009-05-12","Forest","< 5 year","NO","20","12","12"
"907S01434 2009-05-13","Range","< 5 year","NO","18","14","12"
"907SRSD1x 2008-07-02","Forest","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"907SRSD1x 2008-07-09","Forest","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"907SRSD1x 2010-06-01",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"907SRSD1x 2010-06-15",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"907SRSD1x 2010-06-29",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"907SRSD1x 2010-07-13",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"911NCPCR2 2010-05-24",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"911NCPCR2 2010-06-14",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"911NCPCR2 2010-06-30",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"911NCPCR2 2010-07-20",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"911NCPCR2 2010-08-19",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"911NCPCR2 2010-09-14","Other","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"911S00538 2009-05-05","Forest","NO","NO","20","17","17"
"911S01818 2009-05-06","Forest","NO","NO","19","13","10"
"911S02058 2009-05-05","Forest","NO","NO","20","15","14"
"911S03354 2009-05-05","Forest","NO","NO","20","13","8"
"911S04086 2009-05-06","Forest","NO","NO","20","8","12"
"911TJPC2 2010-05-24",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"911TJPC2 2010-06-14",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"911TJPC2 2010-07-01",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"911TJPC2 2010-07-19",NA,NA,NA,"Not Recorded","Not Recorded","Not Recorded"
"LALT500 2009-06-22","Urban/Industrial","NO","NO",NA,NA,NA
"LALT500 2010-07-15","Urban/Industrial","NO","NO",NA,NA,NA
"LALT501 2010-07-15","Urban/Industrial","NO","NO","2","3","16"
"LALT-501 2009-06-22","Urban/Industrial","NO","NO","3","3","18"
"LALT502 2009-06-22","Urban/Industrial","NO","NO",NA,NA,NA
"LALT502 2010-07-15","Urban/Industrial","NO","NO",NA,NA,NA
"LALT503 2010-07-15","Urban/Industrial","NO","NO",NA,NA,NA
"LAR0052 2010-07-08","Forest","< 1 year","NO","19","6","3"
"LAR0080 2010-07-08","Forest","< 1 year","NO","19","8","6"
"LAR0092 2010-07-27","Forest","< 5 year","NO",NA,NA,NA
"LB_RA 2010-05-26","Suburban, Town","NO","NO",NA,NA,NA
"LB_RA1 2010-05-26","Suburban, Town","NO","NO",NA,NA,NA
"LC_R31 2010-05-25","Suburban, Town","NO","NO",NA,NA,NA
"LC_R4 2010-05-25","Suburban, Town","NO","NO",NA,NA,NA
"LC_R5 2010-05-25","Suburban, Town","NO","NO",NA,NA,NA
"ME-CC 2010-07-12","Agriculture","NO","NO",NA,NA,NA
"ME-CC 2011-07-07","Agriculture","NO","NO",NA,NA,NA
"ME-SCR 2011-07-13","Agriculture","NO","NO",NA,NA,NA
"ME-VR2 2010-07-07","Agriculture","NO","NO",NA,NA,NA
"ME-VR2 2011-07-06","Agriculture","NO","NO",NA,NA,NA
"MO2_Mont 2010-06-30","Suburban, Town","NO","NO",NA,NA,NA
"POM_RC 2010-05-28","Urban/Industrial","NO","NO","1","2","19"
"POM_RD 2010-06-16","Suburban, Town","NO","NO",NA,NA,NA
"REF-CS 2008-10-22","Forest","NO","NO","19","14","18"
"REF-CS 2009-04-29","Forest","NO","NO","20","15","12"
"REF-TCAS 2009-04-30","Forest","NO","NO","20","19","18"
"SA_RB 2010-06-02","Suburban, Town","NO","NO",NA,NA,NA
"SGLT506 2010-07-06","Urban/Industrial","NO","NO",NA,NA,NA
"SGLT508 2009-05-26","Suburban, Town","NO","NO",NA,NA,NA
"SGUR010 2010-06-18","Forest","< 1 year","NO","19","6","3"
"SGUR010 2011-06-27","Forest","< 5 years","NO","15","13","13"
"SGUR103 2010-07-22","Forest","< 1 year","NO","20","11","4"
"SGUR103 2011-08-03","Forest","< 5 years","NO","20","16","17"
"SGUT 503 2009-05-08","Forest","NO","NO",NA,NA,NA
"SGUT 503 2010-05-27","Forest","NO","minimal","20","18","20"
"SGUT501 2010-07-07","Forest","NO","NO","19","18","19"
"SGUT502 2009-05-13","Forest","NO","NO","12","16","18"
"SGUT502 2010-05-27","Forest","NO","minimal","18","9","17"
"SGUT502 2011-06-28","Forest","NO","NO","11","17","15"
"SGUT503 2011-07-27","Forest","NO","NO","13","14","15"
"SGUT504 2010-07-07","Forest","NO","NO","19","15","16"
