"","XGB.result","XGB.count","XGB.sd","XGH.result","XGH.count","XGH.sd","XGW.result","XGW.count","XGW.sd","XM.result","XM.count","XM.sd","XC.result","XC.count","XC.sd","XG.result","XCM.result","XCMG.result","XPMID.result","XPCAN.result","XPGVEG.result","XPCM.result","XPCMG.result","XPMGVEG.result"
"102PS0139 2010-07-15",9.58333333333333,12,22.3818446446438,0.833333333333333,12,1.94624736040381,0.833333333333333,12,1.94624736040381,2.5,12,7.22998805481221,0.416666666666667,12,1.44337567297406,1.66666666666667,2.91666666666667,4.58333333333333,6,0.0833333333333333,0.25,0.0833333333333333,0.0833333333333333,0
"202PES162 2010-07-20",0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,Inf,0,0,0,0,0
"403S00640 2009-06-11",59.7727272727273,22,21.2819660257712,12.2727272727273,22,9.84731927834662,12.7272727272727,22,10.547768069853,15.9090909090909,22,10.1929438287525,15.3409090909091,22,13.8507231748935,25,31.25,56.25,1,0.954545454545455,1,0.954545454545455,0.954545454545455,0.545454545454545
"403S00772 2009-05-20",83.4090909090909,22,10.5375025997131,5,22,4.87950036474267,1.81818181818182,22,2.46182981958665,6.59090909090909,22,6.05261919619921,0,22,0,6.81818181818182,6.59090909090909,13.4090909090909,1.04761904761905,0,0.909090909090909,0,0,0.0454545454545455
"403S01163 2009-06-08",52.5,22,30.3157981759943,14.3181818181818,22,16.3332449860673,21.25,22,17.5382235621025,16.8181818181818,22,10.0647255948039,7.27272727272727,22,8.82734829504749,35.5681818181818,24.0909090909091,59.6590909090909,1,0.727272727272727,1,0.727272727272727,0.727272727272727,0.727272727272727
"403S01195 2009-06-10",28.0681818181818,22,22.2396554093644,20.6818181818182,22,15.2787944040608,26.9318181818182,22,19.0227279192333,26.9318181818182,22,19.0227279192333,19.4318181818182,22,13.5385652459095,47.6136363636364,46.3636363636364,93.9772727272727,1,0.863636363636364,1,0.863636363636364,0.863636363636364,0.772727272727273
"403S01272 2009-06-09",7.72727272727273,22,7.02500173314209,35.5681818181818,22,23.6911151994569,33.2954545454545,22,28.6022223124729,39.7727272727273,22,16.5635337217228,33.4090909090909,22,27.0311268389207,68.8636363636364,73.1818181818182,142.045454545455,1,0.954545454545455,1,0.954545454545455,0.954545454545455,1
"403S01784 2009-06-09",6.81818181818182,22,5.884898863365,16.8181818181818,22,10.0647255948039,57.5,22,0,48.6363636363636,22,14.8148749397529,54.5454545454545,22,9.56296065296812,74.3181818181818,103.181818181818,177.5,1,1,1,1,1,1
"403S03832 2009-06-08",80.6818181818182,22,12.8679608168667,5.90909090909091,22,4.26401432711221,2.95454545454545,22,2.51618139870098,4.31818181818182,22,1.75625043328552,0,22,0,8.86363636363636,4.31818181818182,13.1818181818182,1.15789473684211,0,1,0,0,0.0454545454545455
"403S14156 2009-06-09",29.2045454545455,22,24.9926937375654,25.1136363636364,22,20.0961568335968,23.2954545454545,22,20.9504285050558,22.7272727272727,22,19.162666625702,19.7727272727273,22,15.6012265030115,48.4090909090909,42.5,90.9090909090909,1,1,1,1,1,0.681818181818182
"404S02920 2009-05-12",24.5454545454545,22,18.2840739253417,35,22,18.3225076262581,17.7272727272727,22,9.84731927834662,24.0909090909091,22,4.26401432711221,54.4318181818182,22,13.5605304842026,52.7272727272727,78.5227272727273,131.25,1,1,1,1,1,0.954545454545455
"404S03048 2009-05-13",32.2727272727273,22,21.0287372946592,31.8181818181818,22,24.9545040569287,18.2954545454545,22,13.214943823556,28.1818181818182,22,15.739354266528,42.9545454545455,22,20.5813768633946,50.1136363636364,71.1363636363636,121.25,1,1,1,1,1,0.909090909090909
"404S05992 2009-05-12",26.9318181818182,22,19.0227279192333,27.8409090909091,22,18.3921478869681,26.4772727272727,22,6.92902328155734,32.3863636363636,22,13.9402908849389,50.5681818181818,22,18.0266307330132,54.3181818181818,82.9545454545455,137.272727272727,1,1,1,1,1,1
"404S06456 2009-05-14",21.9318181818182,22,17.4392110558672,35.6818181818182,22,25.1682649072509,28.75,22,17.6902919300793,30.2272727272727,22,18.6909242508403,35.7954545454545,22,23.3552579431929,64.4318181818182,66.0227272727273,130.454545454545,1,1,1,1,1,0.954545454545455
"404S08040 2009-05-12",87.5,22,0,0,22,0,0,22,0,0,22,0,7.5,22,17.0782512765993,0,7.5,7.5,Inf,0.363636363636364,0,0,0,0
"404S08616 2009-05-13",19.4318181818182,22,18.1089924087622,23.0681818181818,22,16.7426568513351,38.8636363636364,22,17.9072888978482,38.8636363636364,22,17.9072888978482,31.8181818181818,22,17.3750953779811,61.9318181818182,70.6818181818182,132.613636363636,1,0.954545454545455,1,0.954545454545455,0.954545454545455,0.954545454545455
"404S11406 2009-05-11",9.65909090909091,22,12.9627546709027,50.1136363636364,22,13.9402908849389,21.5909090909091,22,14.8913816267412,32.0454545454545,22,16.966991126266,21.25,22,17.5382235621025,71.7045454545455,53.2954545454545,125,1,1,1,1,1,1
"404S16516 2009-05-18",29.8863636363636,22,21.0084630442239,26.9318181818182,22,19.0227279192333,18.2954545454545,22,13.214943823556,27.8409090909091,22,18.3921478869681,38.5227272727273,22,20.4656956141172,45.2272727272727,66.3636363636364,111.590909090909,1,1,1,1,1,0.863636363636364
"404S17266 2009-05-19",14.6590909090909,22,18.8239882189597,52.5,22,20.5577004457952,6.81818181818182,22,5.884898863365,37.6136363636364,22,21.5124171331139,36.25,22,19.2067386488131,59.3181818181818,73.8636363636364,133.181818181818,1,0.954545454545455,1,0.954545454545455,0.954545454545455,0.909090909090909
"404S17664 2009-05-20",79.3181818181818,22,13.6752691751566,4.77272727272727,22,1.06600358177805,5,22,0,9.54545454545454,22,8.57864054457777,24.3181818181818,22,13.2777521176855,9.77272727272727,33.8636363636364,43.6363636363636,1,1,1,1,1,0
"404S22464 2009-05-19",18.2954545454545,22,13.214943823556,45.6818181818182,22,16.0018938273133,17.7272727272727,22,9.84731927834662,36.8181818181818,22,16.0018938273133,32.8409090909091,22,22.417779064435,63.4090909090909,69.6590909090909,133.068181818182,1,1,1,1,1,1
"901S00313 2009-04-30",30.7954545454545,22,20.3011019469323,23.4090909090909,22,13.8989862285642,41.25,22,16.6324052608727,48.5227272727273,22,17.6213326294115,34.0909090909091,22,19.3117509031088,64.6590909090909,82.6136363636364,147.272727272727,1,1,1,1,1,1
"901S00469 2009-05-13",19.4318181818182,22,18.1089924087622,37.3863636363636,22,17.6351460618668,44.2045454545455,22,16.3551790915564,47.1590909090909,22,15.4937670752409,27.6136363636364,22,13.4844988767366,81.5909090909091,74.7727272727273,156.363636363636,1,1,1,1,1,1
"901S00531 2009-05-07",12.5,22,12.794157892979,19.8863636363636,22,23.4834956320299,18.4090909090909,22,21.9786890091918,25.7954545454545,22,27.9176762109894,2.27272727272727,22,7.35612357920625,38.2954545454545,28.0681818181818,66.3636363636364,2,0.0909090909090909,0.772727272727273,0,0,0.5
"901S00997 2009-05-14",56.8181818181818,22,29.7827632534825,13.2954545454545,22,14.7879126081864,23.6363636363636,22,26.8342273519428,14.2045454545455,22,14.8681979973469,1.13636363636364,22,2.14466013614444,36.9318181818182,15.3409090909091,52.2727272727273,1.375,0.227272727272727,1,0.227272727272727,0.227272727272727,0.636363636363636
"901S01705 2009-05-14",22.7272727272727,22,19.162666625702,35.3409090909091,22,15.4937670752409,30.9090909090909,22,12.8300580517155,35.3409090909091,22,15.4937670752409,19.6590909090909,22,18.5372124860575,66.25,55,121.25,1,0.863636363636364,1,0.863636363636364,0.863636363636364,1
"901S01811 2009-05-07",15.3409090909091,22,18.9814360210157,22.2727272727273,22,7.02500173314209,53.0681818181818,22,11.4156278163559,59.8863636363636,22,18.9529064351002,41.5909090909091,22,18.5733016038488,75.3409090909091,101.477272727273,176.818181818182,1,0.954545454545455,1,0.954545454545455,0.954545454545455,1
"901S06030 2009-04-30",31.4772727272727,22,15.052667278851,21.9318181818182,22,11.6479054468476,28.5227272727273,22,18.0386339842383,29.2857142857143,21,15.2303737877403,8.52272727272727,22,12.6457947769654,50.4545454545455,37.8084415584416,88.262987012987,1,0.863636363636364,1,0.863636363636364,0.863636363636364,1
"901SJMS1x 2008-04-23",42.2727272727273,22,35.9141593222901,29.7727272727273,22,29.2659103137679,17.9545454545455,22,16.0660164047247,17.0454545454545,22,16.2135371797393,5.22727272727273,22,8.37758811854478,47.7272727272727,22.2727272727273,70,1,0.5,1,0.5,0.5,0.636363636363636
