"","PCT_RS.result","PCT_RR.result","PCT_RC.result","PCT_XB.result","PCT_SB.result","PCT_CB.result","PCT_GC.result","PCT_GF.result","PCT_SA.result","PCT_FN.result","PCT_HP.result","PCT_WD.result","PCT_OT.result","PCT_BDRK.result","PCT_BIGR.result","PCT_SFGF.result","PCT_SAFN.result","XSDGM.result","XSPGM.result","SB_PT_D50.result","SB_PT_D10.result","SB_PT_D25.result","SB_PT_D75.result","SB_PT_D90.result","SB_PP_D50.result","SB_PP_D10.result","SB_PP_D25.result","SB_PP_D75.result","SB_PP_D90.result","XEMBED.result","XEMBED.count","XEMBED.sd","PCT_CPOM.result"
"102PS0139 2010-07-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"202PES162 2010-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"403S00640 2009-06-11",4.76190476190476,0,0,0.952380952380952,2.85714285714286,11.4285714285714,12.3809523809524,24.7619047619048,40.9523809523809,1.9047619047619,0,0,0,4.76190476190476,32.3809523809524,67.6190476190476,42.8571428571429,8.97011405716063,6.49825937385517,9,1.03,1.03,40,157,9,1.03,1.03,40,157,13.3333333333333,12,10.7308673997732,27.6190476190476
"403S00772 2009-05-20",0,0,0,0,41.9047619047619,14.2857142857143,7.61904761904762,1.9047619047619,25.7142857142857,7.61904761904762,0,0,0,0,63.8095238095238,35.2380952380952,33.3333333333333,33.679298311474,33.679298311474,157,1.03,1.03,625,625,157,1.03,1.03,625,625,37.3333333333333,15,26.3131326979695,45.7142857142857
"403S01163 2009-06-08",0,0,0,17.1428571428571,13.3333333333333,5.71428571428571,6.66666666666667,2.85714285714286,31.4285714285714,22.8571428571429,0,0,0,0,42.8571428571429,57.1428571428571,54.2857142857143,7.42649753169549,7.42649753169549,1.03,0.03,1.03,625,2500,1.03,0.03,1.03,625,2500,45,6,22.5831795812724,62.8571428571429
"403S01195 2009-06-10",0,0,0,0.952380952380952,16.1904761904762,9.52380952380952,17.1428571428571,14.2857142857143,9.52380952380952,29.5238095238095,0,2.85714285714286,0,0,43.8095238095238,53.3333333333333,39.0476190476191,4.74292791467204,4.74292791467204,9,0.03,0.03,157,625,9,0.03,0.03,157,625,19,10,11.0050493461461,66.6666666666667
"403S01272 2009-06-09",0,0,0,0,0,0,9.52380952380952,27.6190476190476,62.8571428571429,0,0,0,0,0,9.52380952380952,90.4761904761905,62.8571428571429,2.65582189998282,2.65582189998282,1.03,1.03,1.03,9,9,1.03,1.03,1.03,9,9,NA,0,NA,95.2380952380952
"403S01784 2009-06-09",0,0,0,0,0,0,3.80952380952381,10.4761904761905,60.9523809523809,24.7619047619048,0,0,0,0,3.80952380952381,96.1904761904762,85.7142857142857,0.619055988673944,0.619055988673944,1.03,0.03,1.03,1.03,9,1.03,0.03,1.03,1.03,9,NA,0,NA,71.4285714285714
"403S03832 2009-06-08",0,0,0,0,0.952380952380952,0.952380952380952,1.9047619047619,4.76190476190476,0.952380952380952,90.4761904761905,0,0,0,0,3.80952380952381,96.1904761904762,91.4285714285714,0.0556898299345597,0.0556898299345597,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,10,1,NA,91.4285714285714
"403S14156 2009-06-09",0,0,0,0,0,0,7.61904761904762,27.6190476190476,60.9523809523809,3.80952380952381,0,0,0,0,7.61904761904762,92.3809523809524,64.7619047619048,2.1648338617413,2.1648338617413,1.03,1.03,1.03,9,9,1.03,1.03,1.03,9,9,NA,0,NA,96.1904761904762
"404S02920 2009-05-12",0,0,0,0,0,0,2.85714285714286,3.80952380952381,28.5714285714286,29.5238095238095,0,35.2380952380952,0,0,2.85714285714286,61.9047619047619,58.0952380952381,0.274296941703701,0.274296941703701,1.03,0.03,0.03,1.03,3.42100000000003,1.03,0.03,0.03,1.03,3.42100000000003,NA,0,NA,71.4285714285714
"404S03048 2009-05-13",0,0,0,0,4.76190476190476,0,6.66666666666667,3.80952380952381,50.4761904761905,20,0,14.2857142857143,0,0,11.4285714285714,74.2857142857143,70.4761904761905,0.943112360777283,0.943112360777283,1.03,0.03,1.03,1.03,40,1.03,0.03,1.03,1.03,40,NA,0,NA,77.1428571428571
"404S05992 2009-05-12",0,0,2.85714285714286,0,4.76190476190476,7.61904761904762,20.952380952381,14.2857142857143,9.52380952380952,4.76190476190476,0,35.2380952380952,0,0,33.3333333333333,28.5714285714286,14.2857142857143,17.7094725283666,13.570886061783,40,1.03,9,40,625,40,1.03,9,40,157,30,8,24.3486579272276,60
