"","XWAK.result","XWDO.result","XWPH.result","XWSL.result","XWSC.result","XWTC.result","XWTF.result","XWTB.result"
"102PS0139 2010-07-15",8,5,NA,0,0,85,185,50
"202PES162 2010-07-20",0,0,0,0,0,0,32,NA
"403S00640 2009-06-11",264,9.03,8.19,0.54,1080,14.95,58.91,0.92
"403S00772 2009-05-20",120,10.66,8.42,0.43,877,26.98,80.564,NA
"403S01163 2009-06-08",200,9.27,8.34,0.38,766,17.86,64.148,2.02
"403S01195 2009-06-10",220,8.86,7.86,0.64,1282,17.18,62.924,1.12
"403S01272 2009-06-09",372,7.41,7.84,0.65,1293,18.34,65.012,1.68
"403S01784 2009-06-09",328,9.36,8.38,0.73,1447,20.01,68.018,2.41
"403S03832 2009-06-08",176,11.08,8.46,0.71,1418,23.52,74.336,3.92
"403S14156 2009-06-09",390,8.4,7.85,0.62,1239,18.45,65.21,2.24
"404S02920 2009-05-12",480,4.01,7.38,1.83,3471,16.88,62.384,16.4
"404S03048 2009-05-13",480,5.91,7.81,1.08,2094,14.77,58.586,2.76
"404S05992 2009-05-12",480,5.59,7.7,1.95,3692,18.53,65.354,6.95
"404S06456 2009-05-14",310,8.35,7.81,0.73,1438,15.55,59.99,4.57
"404S08040 2009-05-12",180,12.2,8.12,1.9,3732,32.4,90.32,7.45
"404S08616 2009-05-13",290,12.21,7.49,0.67,1335,23.09,73.562,2.71
"404S11406 2009-05-11",340,9.86,7.16,1.01,1977,19.04,66.272,1.6
"404S16516 2009-05-18",280,12.6,7.15,1.63,3116,20.71,69.278,223
"404S17266 2009-05-19",380,6.57,7.54,1.93,3648,18.34,65.012,1.86
"404S17664 2009-05-20",280,2.51,7.71,2.15,4028,16.68,62.024,320
"404S22464 2009-05-19",240,9.18,7.76,1.87,3545,21.29,70.322,1.7
"901S00313 2009-04-30",142,6.6,7.7,0.1,153,13.7,56.66,NA
"901S00469 2009-05-13",200,6.78,7.5,0.1,130.3,26.4,79.52,0.8
"901S00531 2009-05-07",435,8.45,8.4,1,2012,15.2,59.36,0.48
"901S00997 2009-05-14",330,5.98,7.7,2.6,1046,15.8,60.44,1.79
"901S01705 2009-05-14",165,5.5,7.7,0.3,560,16.9,62.42,0.1
"901S01811 2009-05-07",270,9.26,7.9,1.5,2891,18.1,64.58,0.4
"901S06030 2009-04-30",200,8.4,7.9,4.5,8000,17.2,62.96,8.21
"901SJMS1x 2008-04-23",160.4,9.61,7.67,0.3,641,13.2,55.76,0.68
"901SJMS1x 2008-05-13",148.4,10.43,8.52,0.3,602,14.2,57.56,1.08
"901SJMS1x 2008-06-02",125,11.83,8.97,0.3,498,28.8,83.84,1.03
"901SJMS1x 2008-06-25",133,9.16,8.39,0.3,629,19.8,67.64,0.85
"901SJMS1x 2008-07-03",143,8.68,8.58,0.3,630,25.1,77.18,1.29
"901SJOF1x 2008-04-28",172,8.33,7.85,0.3,487,12.3,54.14,0.81
"901SJOF1x 2008-05-16",190,6.99,7.77,0.3,605,15.1,59.18,0.54
"901SJOF1x 2008-06-05",194,76.3,7.92,0.4,719,13.6,56.48,0.51
"901SJOF1x 2008-06-25",196,8.5,8.3,0.4,802,23,73.4,2.16
"901SJOF1x 2008-07-03",125,10.24,9.18,0.4,721,33.5,92.3,2.57
"901TCSMP1 2010-04-05",140,NA,7.35,0.3,597,15.5,59.9,4.41
"901TCSMP1 2010-05-05",194.5,8.65,7.53,0.3,678,24.1,75.38,0.77
"901TCSMP1 2010-05-25",NA,13.13,7.85,0.4,632,24.13,75.434,1.28
"902S00565 2009-04-27",150,11.5,8.5,0.1,162,20.2,68.36,2.93
"902S01097 2009-05-11",200,8.44,8.4,0.6,1234,20.2,68.36,0.82
"902SMAS1x 2008-04-02",188,9.44,7.89,0.3,615,15.3,59.54,1.03
"902SMAS1x 2008-04-08",152.6,9.89,8.29,0.2,538,12.5,54.5,2.7
"902SMAS1x 2008-05-12",248,8.61,8.4,0.4,747,15.8,60.44,1.21
"902SMAS1x 2008-06-02",21,6.67,7.87,0.4,666,20.7,69.26,0.29
"903ACPCT1 2010-05-11",146.4,9.72,8.33,0.2,453,11.6,52.88,1.98
"903ACPCT1 2010-05-25",127.6,9.89,8.01,0.25,389,12.56,54.608,1.19
"903ACPCT1 2010-06-15",95,8.41,8.14,0.26,425,14.45,58.01,0.93
"903ACPCT1 2010-06-30",109,8.61,7.92,0.26,434,14.63,58.334,0.8
"903ACPCT1 2010-07-13",108,5.38,7.26,0.29,621,26.36,79.448,0.63
"903CVPCT1 2010-05-10",238.4,9.26,8.19,0.3,549,11.8,53.24,4.84
"903CVPCT1 2010-06-01",186,8.96,8.05,0.36,529,10.35,50.63,4.07
"903CVPCT1 2010-06-15",234,7.56,8.21,0.32,520,16.34,61.412,2.57
"903CVPCT1 2010-06-30",312,7.61,8.11,0.74,563,15.58,60.044,1.74
"903CVPCT1 2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
